,Reactant_SMILES,Selectivity_Reduced
47,CCN(CC)P(=O)(c1ccccc1)N(CC)CC,"{0: 0.0, 1: 0.0, 7: 0.0, 8: 0.0, 9: 100.0, 10: 0.0}"
48,O=P(c1ccccc1)(C1CCCCC1)C1CCCCC1,"{2: 0.0, 3: 0.0, 4: 100.0, 5: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0}"
49,COc1ccccc1P(=O)(C1CCCCC1)C1CCCCC1,"{0: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 100.0, 6: 0.0, 7: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0}"
50,O=P(c1ccccc1Cl)(C1CCCCC1)C1CCCCC1,"{2: 0.0, 3: 0.0, 4: 100.0, 5: 0.0, 6: 0.0, 7: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0}"
51,FC(F)(F)c1ccc2c(Cl)ccnc2c1,"{1: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 10: 100.0, 11: 0.0, 13: 0.0, 14: 0.0}"
52,Clc1ccc2c(Cl)ccnc2c1,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 7: 100.0, 8: 0.0, 10: 0.0, 11: 0.0}"
53,Cc1ccc2nc(C)ccc2c1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 100.0, 10: 0.0, 11: 0.0}"
54,COc1ccc2nc(C)ccc2c1,"{0: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 100.0, 11: 0.0, 12: 0.0}"
55,Cc1ccc2cc(Cl)ccc2n1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 100.0, 4: 0.0, 5: 0.0, 6: 0.0, 8: 0.0, 9: 0.0, 10: 0.0}"
56,Cc1ccc2cc(Br)ccc2n1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 100.0, 4: 0.0, 5: 0.0, 6: 0.0, 8: 0.0, 9: 0.0, 10: 0.0}"
57,COc1ccc2nc(C#N)ccc2c1,"{0: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 7: 0.0, 8: 0.0, 10: 0.0, 11: 100.0, 12: 0.0, 13: 0.0}"
58,Cc1ccc2ccc(Br)cc2n1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 65.0, 4: 0.0, 5: 35.0, 6: 0.0, 7: 0.0, 9: 0.0, 10: 0.0}"
59,Cc1ccc2ccc(C(F)(F)F)cc2n1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 60.0, 4: 0.0, 5: 40.0, 6: 0.0, 7: 0.0, 8: 0.0, 12: 0.0, 13: 0.0}"
60,Cc1ccc2ccc(C#N)cc2n1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 100.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 10: 0.0, 11: 0.0}"
61,COc1ccc2ccc(C)nc2c1,"{0: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 100.0, 7: 0.0, 8: 0.0, 9: 0.0, 11: 0.0, 12: 0.0}"
62,Cc1ccc2ccc(C)nc2c1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 100.0, 6: 0.0, 7: 0.0, 8: 0.0, 10: 0.0, 11: 0.0}"
63,Cc1ccc2ccc(Cl)cc2n1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 84.72222222222223, 4: 0.0, 5: 15.277777777777779, 6: 0.0, 7: 0.0, 9: 0.0, 10: 0.0}"
64,COC(=O)c1ccccc1C,"{0: 0.0, 2: 0.0, 4: 0.0, 5: 0.0, 6: 27.0, 7: 73.0, 8: 0.0, 9: 0.0, 10: 0.0}"
65,O=C1CCCc2ccccc21,"{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 80.0, 8: 20.0, 9: 0.0, 10: 0.0}"
66,CC(C)(C)C(=O)NC1CC1,"{0: 0.0, 1: 0.0, 4: 0.0, 7: 0.0, 8: 100.0}"
67,CC(C)(C)OC(=O)NC=Cc1ccccc1,"{0: 0.0, 1: 0.0, 5: 0.0, 8: 0.0, 9: 100.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0}"
68,COc1c(C)cccc1C,"{0: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 100.0}"
69,COc1cccc(OC)c1,"{0: 0.0, 2: 0.0, 3: 0.0, 4: 100.0, 9: 0.0}"
70,COc1cccc(OC)c1OC,"{0: 0.0, 2: 0.0, 3: 0.0, 4: 100.0, 9: 0.0, 11: 0.0}"
71,CC(C)c1cccc(C(C)C)c1,"{0: 0.0, 1: 0.0, 3: 0.0, 4: 0.0, 5: 100.0, 11: 0.0}"
72,Cc1cccc(Br)c1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 100.0, 4: 0.0, 5: 0.0, 7: 0.0}"
73,Cc1cccc(N(C)C)c1,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 100.0, 4: 0.0, 5: 0.0, 7: 0.0, 9: 0.0}"
74,COC(=O)c1ccc(C#N)cc1,"{0: 0.0, 2: 0.0, 4: 0.0, 5: 100.0, 6: 0.0, 7: 0.0, 8: 0.0}"
75,N#Cc1ccc(I)cc1,"{1: 0.0, 2: 0.0, 3: 100.0, 4: 0.0, 5: 0.0}"
76,CC(=O)Nc1ccc(C#N)cc1,"{0: 0.0, 1: 0.0, 4: 0.0, 5: 100.0, 6: 0.0, 7: 0.0, 8: 0.0}"
77,CN(C)c1ccc(C#N)cc1,"{0: 0.0, 3: 0.0, 4: 100.0, 5: 0.0, 6: 0.0, 7: 0.0}"
101,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,"{0: 0.0, 1: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 11: 0.0, 12: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 100.0, 18: 0.0, 19: 0.0, 21: 0.0}"
102,Cc1ccc(C)n1-c1ccn(C)n1,"{0: 0.0, 1: 0.0, 2: 0.0, 7: 0.0, 8: 0.0, 9: 100.0, 11: 0.0}"
103,Brc1ccc(N2CCOCC2)nc1,"{1: 0.0, 2: 100.0, 3: 0.0, 4: 0.0, 6: 0.0, 7: 0.0, 12: 0.0}"
104,Cn1nc(C(F)(F)F)c2ccc(Br)cc21,"{0: 100.0, 3: 0.0, 4: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 13: 0.0, 14: 0.0}"
