,Buried_Volume_C,V_occ_avg,C_charge,Pyramidalization_H_max,Bmax_2.0_min,gas_charge_H_max,gas_charge_C,Buried_Volume_H_max_MFF,num_H,Pyramidalization_C_MFF,L_cc1_min,num_C,Bmax_2.0_avg,Bmin_3.5_avg,L_ch1_avg,n_Csp3,Pyramidalization_H_max_MFF,C_n_charge_min,Bmin_2.0_avg,Bmin_3.0_avg,Local_Nucleophilicity_H_max,dual_H_max,Reactant_SMILES,Atom_nº,bde_avg,DOI
26,0.022936656,-0.330660021,0.066243684,-0.003829201,-0.23305969,-0.109728049,-0.089729312,-0.125129651,-0.39584606,0.036539173,-0.124180009,0.362858888,-0.298635891,-0.022848084,-0.116178868,0.493178579,-0.00553145,-0.058284249,-0.05779828,-0.039174597,0.102297109,0.105958084,C1CC2CCC1C2,2,-0.1620327,10.1021/ja00199a039
27,-0.072291458,-0.33068193,-0.14555495,0.016060769,-0.100721857,-0.147063335,-0.114237253,-0.134015626,0.10415394,0.001264111,-0.102903413,0.029525555,-0.166288978,-0.022848084,-0.116178868,0.159845245,0.014633782,0.033858657,-0.05779828,-0.039174597,0.028829086,0.11693729,C1CC2CCC1C2,6,-0.1154467,10.1021/ja00199a039
28,-0.065514402,-0.308463922,-0.068387604,-0.0119046,-0.111249541,-0.150357625,-0.124078427,-0.132957103,0.10415394,0.079811704,-0.084666331,0.029525555,-0.165778232,-0.022848084,-0.111076827,0.159845245,-0.015331405,-0.019998264,-0.05779828,-0.039174597,0.163117666,0.009162616,C1CC2CCC1CC2,0,0.0689618,10.1021/ja00199a039
29,0.066170081,-0.30844301,0.087673941,-0.030803361,-0.232863885,-0.10985006,-0.090717229,-0.103491864,-0.39584606,0.058510103,-0.102903413,0.362858888,-0.298440086,-0.022848084,-0.116178868,0.493178579,-0.031622046,-0.020357658,-0.05779828,-0.039174597,0.090017412,0.018013596,C1CC2CCC1CC2,2,0.0758441,10.1021/ja00199a039
30,-0.012429794,-0.276068611,-0.075991518,-0.007592661,-0.103780449,-0.147063335,-0.114085266,-0.094297084,0.10415394,0.075180367,-0.084666331,0.029525555,-0.169328943,-0.022848084,-0.116178868,0.159845245,-0.013522475,0.045776736,-0.05779828,-0.039174597,0.079719853,0.030910421,C1C2CC3CC1CC(C2)C3,0,-0.0210968,10.1021/ja00199a039
31,0.091755213,-0.276033459,0.091668729,-0.031018401,-0.232863885,-0.109484028,-0.087829471,-0.095979821,-0.39584606,0.062143068,-0.084666331,0.362858888,-0.298440086,-0.022848084,-0.116178868,0.493178579,-0.034032241,-0.02935345,-0.05779828,-0.039174597,0.196837874,-0.047002588,C1C2CC3CC1CC(C2)C3,1,0.0078834,10.1021/ja00199a039
32,-0.343150118,-0.314190952,-0.182874182,0.011985121,-0.232023804,-0.194037469,-0.166292881,-0.219856689,0.60415394,0.094077481,-0.060350222,-0.303807778,-0.093064921,-0.018908851,-0.049285467,-0.173488088,0.005193251,0.002976862,-0.054535943,-0.036182647,0.154697166,-0.128540231,CCc1ccccc1,0,-0.0468864,10.1021/ja00199a039
33,-0.130392485,-0.314178503,-0.005900436,-0.005565716,-0.101285746,-0.097160944,-0.050212631,-0.140094287,0.10415394,0.084663403,-0.145456605,0.029525555,-0.166816389,-0.022848084,-0.111076827,-0.173488088,-0.016291581,-0.074654773,-0.05779828,-0.039174597,0.171605032,-0.145460733,CCc1ccccc1,1,0.2430236,10.1021/ja00199a039
34,-0.036394022,-0.314215051,-0.050666246,0.163939231,-0.0269707,0.284122609,-0.157819592,-0.130399145,-0.39584606,-0.51218393,-0.084666331,0.029525555,-0.092546901,-0.022848084,-0.116178868,-0.506821421,0.163827132,-0.021051196,-0.05779828,-0.039174597,0.15597242,0.139505349,CCc1ccccc1,3,-0.2747659,10.1021/ja00199a039
35,-0.139181697,-0.314189558,-0.060676242,0.164352108,-0.23325627,0.280706309,-0.168952657,-0.244063994,-0.39584606,-0.511706481,-0.084666331,0.029525555,-0.298832471,-0.022848084,-0.116178868,-0.506821421,0.163690037,-0.016660192,-0.05779828,-0.039174597,0.191904025,0.106650866,CCc1ccccc1,4,-0.2814755,10.1021/ja00199a039
