,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,Pyramidalization_C_MFF,Pyramidalization_H_max_MFF,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
87,-0.056296751,-0.041057196,0.099692949,-0.016207886,CC1Cc2ccccc2CO1,9,0.3544285,9,10.1016/S0040-4020(97)00622-4
88,-0.140397446,-0.243543816,-0.511495863,0.163628422,c1ccc2c(c1)COC2,0,-0.2906618,6,10.1016/S0040-4020(97)00622-4
89,-0.080075384,-0.18602525,-0.512500231,0.163918528,c1ccc2c(c1)COC2,2,-0.2938456,6,10.1016/S0040-4020(97)00622-4
90,-0.165154895,-0.180716124,0.069814493,-0.005366115,c1ccc2c(c1)COC2,6,0.3570045,6,10.1016/S0040-4020(97)00622-4
91,-0.142637816,-0.244217571,-0.509936844,0.163183249,c1ccc(Cc2ccccc2)cc1,0,-0.2921718,4,10.1016/S0040-4020(97)00622-4
92,-0.135674155,-0.244562706,-0.51037157,0.163306994,c1ccc(Cc2ccccc2)cc1,1,-0.2869979,4,10.1016/S0040-4020(97)00622-4
93,-0.00876245,-0.077679435,-0.511001924,0.163485679,c1ccc(Cc2ccccc2)cc1,2,-0.2900963,4,10.1016/S0040-4020(97)00622-4
94,0.00830512,-0.052058565,0.095136565,-0.021577683,c1ccc(Cc2ccccc2)cc1,4,0.3081959,4,10.1016/S0040-4020(97)00622-4
95,-0.140314203,-0.244736098,-0.51002304,0.163207895,c1ccc2c(c1)Cc1ccccc1C2,0,-0.2904275,6,10.1016/S0040-4020(97)00622-4
96,-0.060994208,-0.164375904,-0.512300107,0.163860507,c1ccc2c(c1)Cc1ccccc1C2,2,-0.2804868,6,10.1016/S0040-4020(97)00622-4
97,-0.012006034,-0.060320325,0.08805352,-0.016144217,c1ccc2c(c1)Cc1ccccc1C2,6,0.4280131,6,10.1016/S0040-4020(97)00622-4
98,-0.140121885,-0.244620503,-0.512643391,0.163959605,c1ccc2c(c1)Cc1ccccc1O2,0,-0.3023039,6,10.1016/S0040-4020(97)00622-4
99,-0.141658999,-0.244803804,-0.512641143,0.163958578,c1ccc2c(c1)Cc1ccccc1O2,1,-0.2880171,6,10.1016/S0040-4020(97)00622-4
100,-0.080033763,-0.185774243,-0.512638894,0.163958065,c1ccc2c(c1)Cc1ccccc1O2,2,-0.3267706,6,10.1016/S0040-4020(97)00622-4
101,-0.063868942,-0.166395518,-0.512637395,0.163957551,c1ccc2c(c1)Cc1ccccc1O2,5,-0.2875186,6,10.1016/S0040-4020(97)00622-4
102,-0.024844027,-0.073947359,0.079519388,-0.012244979,c1ccc2c(c1)Cc1ccccc1O2,6,0.4661738,6,10.1016/S0040-4020(97)00622-4
103,-0.27911092,-0.139737593,0.096376285,0.004716244,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,-0.0549403,16,10.1021/jo00045a004
104,-0.006180499,-0.088834381,0.087366203,-0.047706274,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,0.069784,16,10.1021/jo00045a004
105,-0.02985149,-0.060079227,0.093041633,-0.020754601,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3,0.0229184,16,10.1021/jo00045a004
106,0.034916866,0.113680312,0.074678183,-0.013805907,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4,0.061036,16,10.1021/jo00045a004
