,Reactant_SMILES,Atom_nº,bde_avg,gas_charge_C,gas_charge_H_max,Buried_Volume_C,Buried_Volume_H_max,Reactive Atom,DOI
62,CC(O)c1ccc(Cl)cc1,1,0.3389237,0.355935252,0.313039154,-0.010934649,-0.055690436,1,10.1016/S0040-4039(00)78488-7
63,CC(O)c1ccc(Cl)cc1,4,-0.2869257,-0.142316894,0.28595277,0.008795666,-0.062369881,1,10.1016/S0040-4039(00)78488-7
64,CC(O)c1ccc(Cl)cc1,5,-0.3247759,-0.097404667,0.299861994,-0.053762847,-0.153419486,1,10.1016/S0040-4039(00)78488-7
65,CC(O)c1ccc(Br)cc1,0,-0.0800801,-0.065221371,-0.161582613,-0.286488342,-0.153571292,1,10.1016/S0040-4039(00)78488-7
66,CC(O)c1ccc(Br)cc1,1,0.3389237,0.355935252,0.313039154,-0.013841098,-0.062584556,1,10.1016/S0040-4039(00)78488-7
67,CC(O)c1ccc(Br)cc1,4,-0.2859845,-0.14368478,0.28583076,0.009075132,-0.059404306,1,10.1016/S0040-4039(00)78488-7
68,CC(O)c1ccc(Br)cc1,5,-0.3143668,-0.114313247,0.295225586,-0.047307178,-0.142632091,1,10.1016/S0040-4039(00)78488-7
69,CC(O)c1ccc(C#N)cc1,0,-0.0800801,-0.065221371,-0.161582613,-0.286306689,-0.153571292,1,10.1016/S0040-4039(00)78488-7
70,CC(O)c1ccc(C#N)cc1,1,0.3389235,0.355935252,0.313039154,-0.013994804,-0.063003171,1,10.1016/S0040-4039(00)78488-7
71,CC(O)c1ccc(C#N)cc1,4,-0.3006632,-0.142924843,0.28583076,0.008753746,-0.059583712,1,10.1016/S0040-4039(00)78488-7
72,CC(O)c1ccc(C#N)cc1,5,-0.3275635,-0.100672393,0.297665801,-0.059254359,-0.158001254,1,10.1016/S0040-4039(00)78488-7
73,c1ccc2c(c1)CCOC2,0,-0.2887908,-0.168876663,0.280706309,-0.143122171,-0.237263694,9,10.1016/S0040-4020(97)00622-4
74,c1ccc2c(c1)CCOC2,1,-0.2912924,-0.168572689,0.280706309,-0.142283773,-0.236888014,9,10.1016/S0040-4020(97)00622-4
75,c1ccc2c(c1)CCOC2,2,-0.2784784,-0.147902425,0.285342717,-0.06478779,-0.160956096,9,10.1016/S0040-4020(97)00622-4
