,C_spX,n_Csp3,num_C,num_H,num_N,num_O,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
65,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC(O)c1ccc(Br)cc1,0,-0.0800801,1,10.1016/S0040-4039(00)78488-7
66,-0.135613928,-0.173488088,0.029525555,-0.39584606,-0.015271839,0.436774588,CC(O)c1ccc(Br)cc1,1,0.3389237,1,10.1016/S0040-4039(00)78488-7
67,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(O)c1ccc(Br)cc1,4,-0.2859845,1,10.1016/S0040-4039(00)78488-7
68,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(O)c1ccc(Br)cc1,5,-0.3143668,1,10.1016/S0040-4039(00)78488-7
69,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC(O)c1ccc(C#N)cc1,0,-0.0800801,1,10.1016/S0040-4039(00)78488-7
70,-0.135613928,-0.173488088,0.029525555,-0.39584606,-0.015271839,0.436774588,CC(O)c1ccc(C#N)cc1,1,0.3389235,1,10.1016/S0040-4039(00)78488-7
71,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(O)c1ccc(C#N)cc1,4,-0.3006632,1,10.1016/S0040-4039(00)78488-7
72,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC(O)c1ccc(C#N)cc1,5,-0.3275635,1,10.1016/S0040-4039(00)78488-7
73,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc2c(c1)CCOC2,0,-0.2887908,9,10.1016/S0040-4020(97)00622-4
74,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc2c(c1)CCOC2,1,-0.2912924,9,10.1016/S0040-4020(97)00622-4
75,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc2c(c1)CCOC2,2,-0.2784784,9,10.1016/S0040-4020(97)00622-4
76,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,c1ccc2c(c1)CCOC2,5,-0.2813238,9,10.1016/S0040-4020(97)00622-4
77,-0.135613928,-0.173488088,0.029525555,0.10415394,-0.015271839,-0.063225412,c1ccc2c(c1)CCOC2,6,0.2264952,9,10.1016/S0040-4020(97)00622-4
78,-0.135613928,-0.173488088,-0.303807778,0.10415394,-0.015271839,0.436774588,c1ccc2c(c1)CCOC2,7,0.0667534,9,10.1016/S0040-4020(97)00622-4
79,-0.135613928,-0.506821421,-0.303807778,0.10415394,-0.015271839,0.436774588,c1ccc2c(c1)CCOC2,9,0.3652048,9,10.1016/S0040-4020(97)00622-4
80,-0.135613928,-0.173488088,-0.303807778,0.60415394,-0.015271839,-0.063225412,CC1Cc2ccccc2CO1,0,-0.0855649,9,10.1016/S0040-4020(97)00622-4
81,-0.135613928,0.159845245,0.029525555,-0.39584606,-0.015271839,0.436774588,CC1Cc2ccccc2CO1,1,0.0906407,9,10.1016/S0040-4020(97)00622-4
82,-0.135613928,-0.173488088,0.029525555,0.10415394,-0.015271839,-0.063225412,CC1Cc2ccccc2CO1,2,0.2275303,9,10.1016/S0040-4020(97)00622-4
83,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC1Cc2ccccc2CO1,4,-0.286421,9,10.1016/S0040-4020(97)00622-4
84,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC1Cc2ccccc2CO1,5,-0.2914621,9,10.1016/S0040-4020(97)00622-4
85,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC1Cc2ccccc2CO1,6,-0.2912924,9,10.1016/S0040-4020(97)00622-4
86,0.864386072,-0.506821421,0.029525555,-0.39584606,-0.015271839,-0.063225412,CC1Cc2ccccc2CO1,7,-0.2845066,9,10.1016/S0040-4020(97)00622-4
