,Bmax_2.0_avg,Bmax_2.0_min,Bmax_4.0_min,Bmax_4.5_min,Bmin_2.0_avg,Bmin_3.0_avg,Bmin_3.5_avg,Bmin_4.0_avg,Bmin_4.0_min,Bmin_4.5_min,S_bur_2.0_avg,V_occ_avg,Reactant_SMILES,Atom_nº,bde_avg,Reactive Atom,DOI
432,-0.298440086,-0.232863885,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,0.12336889,-0.357259092,C[C@@H](O)[C@H]1CO1,1,0.1738688,1,10.1002/047084289X.rm267.pub3
433,-0.167445856,-0.101869655,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,0.044303259,-0.35728817,C[C@@H](O)[C@H]1CO1,3,-0.1170104,1,10.1002/047084289X.rm267.pub3
434,-0.219429163,-0.233125113,-0.11366736,-0.090728522,-0.05779828,-0.035110102,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.299196121,-0.357262576,C[C@@H](O)[C@H]1CO1,4,-0.1299267,1,10.1002/047084289X.rm267.pub3
435,-0.176460032,-0.110883831,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,0.231705086,-0.282201045,OC1CC2CCC1(O)CC2,1,0.0881425,1,https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.01
436,-0.162735584,-0.102896047,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.012378999,-0.282198754,OC1CC2CCC1(O)CC2,2,0.0033576,1,https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.01
437,-0.297344297,-0.231768096,-0.11366736,-0.090728522,-0.048011025,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,0.196277289,-0.282202041,OC1CC2CCC1(O)CC2,3,-0.0557023,1,https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.01
438,-0.166791313,-0.113753427,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.052031739,-0.282192978,OC1CC2CCC1(O)CC2,4,0.0397869,1,https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.01
439,-0.163911088,-0.105730404,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.010021247,-0.282201741,OC1CC2CCC1(O)CC2,5,0.0136518,1,https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.01
440,-0.233508124,-0.23305969,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.097899221,-0.351601869,C1CCOCC1,0,0.0191225,2,https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.01
441,-0.233774874,-0.23305969,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.104726461,-0.351604857,C1CCOCC1,1,0.0524749,2,https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.01
442,-0.233508124,-0.23305969,-0.11366736,-0.090728522,-0.05779828,-0.039174597,-0.022848084,-0.016180108,-0.008671578,-0.007199076,-0.128227707,-0.351596093,C1CCOCC1,2,0.1370171,2,https://onlinelibrary.wiley.com/doi/epdf/10.1002/0471264180.or069.01
443,0.121597567,-0.037035363,-0.11366736,-0.090728522,-0.050038103,0.036875128,0.053953925,0.049743816,-0.008671578,-0.007199076,-0.406898525,0.433384961,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,0,0.0156138,7,10.1002/047084289X.rm267.pub3
444,-0.034688447,0.030887754,0.167597681,0.108370997,0.221420102,0.300162622,0.009493545,-0.015353308,-0.007844778,-0.003915489,0.444263052,0.43338111,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,4,0.0483199,7,10.1002/047084289X.rm267.pub3
445,0.221128345,0.286704547,0.474857519,0.540133618,-0.045548593,-0.035448511,-0.015093847,-0.015314913,-0.007806383,0.012185757,0.330427883,0.433403416,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,5,0.127419,7,10.1002/047084289X.rm267.pub3
446,0.177395238,0.155471222,0.148518306,0.133722826,-0.05779828,-0.001045766,-0.018390399,-0.013577489,-0.007744249,-0.001523469,-0.254199629,0.433415698,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,6,-0.0231103,7,10.1002/047084289X.rm267.pub3
447,0.274902331,0.340478532,0.539473864,0.584482603,0.227303626,0.170940135,-0.004007743,-0.006197248,0.001311282,-0.007117526,0.387737505,0.433418155,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,7,0.1700036,7,10.1002/047084289X.rm267.pub3
448,0.054600333,0.102312154,0.187135103,-0.090728522,-0.032618314,0.11406551,0.133922998,0.167176731,0.008989008,-0.007199076,0.052463859,0.43337633,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,8,0.0729013,7,10.1002/047084289X.rm267.pub3
449,0.172977462,0.194405417,0.312140891,-0.090728522,-0.003395216,0.085913363,0.046287599,-0.008937911,-0.007248051,-0.007199076,0.009439476,0.43339525,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,9,0.0644347,7,10.1002/047084289X.rm267.pub3
450,0.23272571,0.298301911,0.447256285,0.477811106,0.099587166,-0.034208081,-0.00180019,-0.008557483,-0.001048953,0.00084405,0.395665274,0.433441059,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,10,0.0896015,7,10.1002/047084289X.rm267.pub3
451,0.228319749,0.293895951,0.37400547,0.420063007,0.406070901,0.530146538,-0.013356908,-0.010863497,-0.003354967,-0.004459279,0.403573687,0.433441457,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,11,0.1278617,7,10.1002/047084289X.rm267.pub3
452,0.189877623,0.197117749,0.430432036,0.481953239,-0.05779828,-0.035122814,-0.021005952,-0.002524273,0.004321293,-0.001760806,0.024224738,0.43339993,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,12,0.1202311,7,10.1002/047084289X.rm267.pub3
453,0.38235062,0.447926821,0.599007451,0.600496938,0.056731147,0.179941647,0.09603719,0.066625667,0.074134197,0.011104027,0.408672236,0.433402022,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,16,-0.03739,7,10.1002/047084289X.rm267.pub3
454,0.186013262,0.045069907,-0.11366736,-0.090728522,-0.036343444,0.003699862,-0.008776248,-0.016180108,-0.008671578,-0.007199076,0.095174924,0.433446835,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,17,0.0019298,7,10.1002/047084289X.rm267.pub3
455,-0.057078491,0.008497711,-0.11366736,-0.090728522,-0.05779828,-0.035074127,-0.0219309,-0.016180108,-0.008671578,-0.007199076,0.312803802,0.433398437,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,18,-0.0442685,7,10.1002/047084289X.rm267.pub3
456,0.1961062,-0.141959076,-0.11366736,-0.090728522,-0.057423195,-0.034531379,-0.012554685,-0.005612538,-0.008671578,-0.007199076,-0.434878027,0.433415765,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,21,0.0157683,7,10.1002/047084289X.rm267.pub3
457,0.371826445,0.437402646,0.545553439,-0.090728522,0.337982977,0.407243002,0.015433952,0.007056764,0.014565294,-0.007199076,0.339726786,0.433414769,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C,23,-0.0169159,7,10.1002/047084289X.rm267.pub3
