,Bmax_cc1_avg,Bmax_ch1_avg,Bmin_cc1_avg,Bmin_ch1_avg,C_charge,C_n_charge_avg,C_n_charge_max,C_n_charge_min,H_charge_avg,L_cc1_avg,L_cc1_max,L_cc1_min,L_cc2_avg,L_cc2_min,L_ch1_avg,L_ch1_min,L_ch2_avg,L_ch2_max,L_ch2_min,OccV_cc1_avg,Vbur_cc1_avg,Vbur_cc2_avg,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
10,-0.17506067985244547,-0.2798869005847442,-0.1272241353520365,-0.0996308276465193,-0.0034444658400755537,-0.06162846516607797,-0.12257731178301096,-0.005300983657673499,-0.11708441911596028,-0.16377852941620094,-0.24605431221191754,-0.08162681753448468,-0.19350901112824148,-0.07696610048473207,-0.11617886813858098,-0.06910974530313038,-0.12269162906446152,-0.08893664368618551,-0.15153091362893162,-0.317943554093138,-0.13675209473318334,-0.2199758484980765,CC1CCCCC1,4,0.0,1,10.1021/ja00199a039
11,-0.2497849686126936,-0.20115713948524652,-0.11403005738703033,-0.1634127731362858,-0.22373154571090692,0.02865703110143611,-0.03317107482090031,0.07374381939523991,-0.10306332206954678,-0.037235319539657745,-0.12181188796949331,0.04299324325578886,-0.2993291169483473,-0.20683623035486196,-0.09350315385286669,-0.06570838475891268,-0.1260473337624481,-0.13953188178142356,-0.1416299235299217,-0.29393441157431477,-0.19756733451615904,0.03331667633100081,C[C@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
12,-0.24848269506211482,-0.26604542048102114,-0.048192759257541413,0.08767777942448687,0.1554241762195623,-0.07084346338392261,-0.03501991905915463,-0.09257734083305527,0.02473836569416635,-0.1853834676878059,-0.24605431221191754,-0.14545660476852723,-0.08063419631342666,-0.0704725939912256,-0.11617886813858098,-0.06910974530313038,-0.23007417940003197,-0.273460453209995,-0.15813157369493822,-0.293915743897119,0.08106380387259135,-0.12534867633151803,C[C@H]1CCCC[C@@H]1C,1,90.0,1,10.1021/ja00199a039
13,-0.211879232750037,-0.25703758557073725,-0.12526239648721593,-0.09842084674656844,-0.03245561172277614,-0.028235391977224727,-0.03317107482090031,-0.021640366089113,-0.08976796341975775,-0.13445754176188,-0.18544825160585693,-0.08466633121229622,-0.1326624502816806,-0.0704725939912256,-0.11447818786647214,-0.06910974530313038,-0.15792652839332053,-0.148460453209995,-0.15483124366193493,-0.2939300268704979,-0.04042229616243008,-0.09369266316687114,C[C@H]1CCCC[C@@H]1C,2,5.5,1,10.1021/ja00199a039
14,-0.17522346404626785,-0.2455244289026113,-0.1287855082146943,-0.10033424571528454,-0.062019350860385306,-0.07954038151019961,-0.1350489470581683,-0.025242723107943715,-0.06710973557165648,-0.13137112200879353,-0.1824179485755539,-0.08162681753448468,-0.1908635084827389,-0.07696610048473207,-0.11617886813858098,-0.06910974530313038,-0.12269162906446152,-0.08893664368618551,-0.15153091362893162,-0.29391507901657654,-0.13230701693923133,-0.1658809090167065,C[C@H]1CCCC[C@@H]1C,3,4.5,1,10.1021/ja00199a039
15,-0.24930355829831602,-0.2024599540320227,-0.10520018702870555,-0.16143446285000568,-0.20207104135443824,0.023711173483098483,-0.03829623335643255,0.06959774213478193,-0.10694939801891386,-0.03414889978657133,-0.11878158493919029,0.046032756933600406,-0.2993291169483473,-0.20683623035486196,-0.09803825589368302,-0.06910974530313038,-0.11821733376244804,-0.1365556913052331,-0.11192695323289199,-0.2937008264437045,-0.20170773221835517,0.044237566019127504,C[C@@H]1CCCC[C@@H]1C,0,0.0,1,10.1021/ja00199a039
16,-0.24768559113655603,-0.2797996443893679,-0.09805741754870403,0.0687330083493094,0.1459725290887301,-0.06900407825262043,-0.04164017560840183,-0.0830757033597889,0.01961600282496801,-0.18744106028039847,-0.24302400918161451,-0.14545660476852723,-0.1141439317631621,-0.0704725939912256,-0.0787639021521864,-0.03169477931673581,-0.16631579013828698,-0.21691283416237594,-0.09542530306787549,-0.29364249712743756,0.09029178030632462,-0.11175399892526824,C[C@@H]1CCCC[C@@H]1C,1,100.0,1,10.1021/ja00199a039
17,-0.23185381088612092,-0.28131879712425295,-0.13921820622609168,-0.10294172909926005,-0.03135810011927712,-0.023716247612600754,-0.03829623335643255,-0.009919239022702519,-0.09023631785013748,-0.16377852941620094,-0.24605431221191754,-0.08162681753448468,-0.14059895821818855,-0.08995311347174513,-0.10257342596171022,-0.06910974530313038,-0.11933592436647489,-0.13357950082904263,-0.09542530306787549,-0.2936669446414829,-0.002841723205128273,-0.061641735758000055,C[C@@H]1CCCC[C@@H]1C,2,0.0,1,10.1021/ja00199a039
18,-0.19606612480418742,-0.2524508555227612,-0.1487525352925816,-0.09465980864065524,-0.03529916451365986,-0.07259449377092643,-0.1344538210568844,-0.014079624710571751,-0.08275530519190966,-0.13445754176188,-0.1824179485755539,-0.08770584489010777,-0.19880001641924674,-0.0964466199652516,-0.08046458242429527,-0.06910974530313038,-0.14114800490338766,-0.13357950082904263,-0.13832959349691842,-0.29366206087864977,-0.08780841177697286,-0.12702285345434078,C[C@@H]1CCCC[C@@H]1C,3,0.0,1,10.1021/ja00199a039
19,-0.14059681228792023,-0.18723405868029197,-0.12608740136224475,-0.09788522231242117,-0.05803031830151393,-0.08702643802711503,-0.1453148705803154,-0.029489801032481087,-0.08210973557165649,-0.09742050472484291,-0.11575128190888721,-0.08162681753448468,-0.1882180058372362,-0.0704725939912256,-0.11617886813858098,-0.06910974530313038,-0.07738961564164266,-0.05322235797189976,-0.10202596313388212,-0.26081604528141,-0.12992432979742544,-0.15956281490583013,C1CC[C@H]2CCCC[C@@H]2C1,0,9.63855421686747,3,10.1021/ja00199a039
