,Buried_Volume_C,Buried_Volume_H_max,Local_Electrophilicity_C,Local_Electrophilicity_H_max,Local_Nucleophilicity_C,Local_Nucleophilicity_H_max,Pyramidalization_C,Pyramidalization_H_max,Radical_H_max,charge_C,charge_H_max,dual_C,dual_H_max,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
51,0.31691,0.382373,-0.01115,0.036681,-0.0111,0.049941,0.77653,1.70874,0.047636,-0.10725,0.054373,-0.00313,-0.004611,Cc1ccc(C(C)O)cc1,6,1.9801980198019802,5,10.1016/S0040-4039(00)78488-7
52,0.3171,0.383322,-0.01202,0.038261,-0.01563,0.058079,0.77662,1.70871,0.052604,-0.10745,0.055351,0.00053,-0.010951,CC(O)c1ccccc1,0,1.9607843137254901,1,10.1016/S0040-4039(00)78488-7
53,0.51265,0.44273,-0.00529,0.043269,-0.00179,0.126697,0.74523,1.639293,0.08647,0.11915,0.011767,-0.00544,-0.080453,CC(O)c1ccccc1,1,98.03921568627452,1,10.1016/S0040-4039(00)78488-7
54,0.52666,0.444389,0.0381,0.071134,0.02638,0.054612,0.00091,1.999617,0.074201,-0.03363,0.043632,0.02419,0.039176,CC(O)c1ccccc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
55,0.426,0.32887,0.0417,0.075338,0.03226,0.078262,0.00183,1.999236,0.087616,-0.03051,0.030927,0.02269,0.018709,CC(O)c1ccccc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
56,0.41857,0.328643,0.0518,0.07767,0.05477,0.079137,0.00034,1.999858,0.089644,-0.03172,0.03023,0.01178,0.021015,CC(O)c1ccccc1,6,0.0,1,10.1016/S0040-4039(00)78488-7
57,0.31468,0.381033,-0.01241,0.04041,0.00386,0.072788,0.78683,1.703051,0.059351,-0.11891,0.053936,-0.02023,-0.026874,CC(O)c1ccc(F)cc1,0,1.9801980198019802,1,10.1016/S0040-4039(00)78488-7
58,0.51484,0.446859,-0.00422,0.03724,0.00714,0.064736,0.78903,1.603739,0.053625,0.11186,0.0491,-0.01321,-0.022222,CC(O)c1ccc(F)cc1,1,98.01980198019803,1,10.1016/S0040-4039(00)78488-7
59,0.52811,0.444011,0.0487,0.079616,0.02024,0.057727,4e-05,1.999983,0.077793,-0.03069,0.038733,0.04093,0.040133,CC(O)c1ccc(F)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
60,0.45887,0.356807,0.04868,0.079773,0.03319,0.066726,0.00098,1.999594,0.082006,-0.04958,0.057937,0.02683,0.030558,CC(O)c1ccc(F)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
