,Buried_Volume_C,Buried_Volume_H_max,Local_Electrophilicity_C,Local_Electrophilicity_H_max,Local_Nucleophilicity_C,Local_Nucleophilicity_H_max,Pyramidalization_H_max,Radical_H_max,charge_C,charge_H_max,dual_C,dual_H_max,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
47,-0.2293603597955438,0.09180934486890546,-0.2457938118172381,-0.26957631231285345,-0.1439899646981101,-0.06724789519556491,-0.0820535462714851,-0.1667564492120997,-0.3111786453953086,-0.006650900573695253,-0.11297995695732155,-0.1254367292409594,CCN(CC)C(=O)c1cccc(F)c1,0,0.0,10,10.1021/jacs.6b13346
48,0.14880843324742063,0.3006407193880719,-0.2762985729194543,-0.1933275260360167,-0.21557052474577373,-0.046653727847513655,-0.10301684673482697,-0.10904975914498963,0.16336025644908408,0.06679994755156632,-0.0713020624095806,-0.12484319554990167,CCN(CC)C(=O)c1cccc(F)c1,1,0.0,10,10.1021/jacs.6b13346
49,0.1696352274351204,0.08592119418674428,0.0572313841042248,0.11220705158832242,0.11518102857791342,-0.0705730519140168,0.07075564710622938,0.07580709595507722,0.04154554370793505,-0.006934019311231901,-0.027378591646982916,0.2077281688557224,CCN(CC)C(=O)c1cccc(F)c1,8,0.0,10,10.1021/jacs.6b13346
50,-0.03115500908193066,-0.17061569616294714,0.18750862350761233,0.1957201957606532,0.08147603240802663,0.10834218384504563,0.07177729356202661,0.20710552141103675,0.05685188248257994,0.011333294015043969,0.170052469163221,0.15569772218151628,CCN(CC)C(=O)c1cccc(F)c1,9,0.0,10,10.1021/jacs.6b13346
51,0.0003067438399134731,-0.11672400322383182,0.30523003582749103,0.2161916597805043,0.16880261339364241,0.11199440515875511,0.07092283497034521,0.22178398136935473,-0.03583414677330302,0.14844892955506223,0.2180179771125608,0.17392081064209844,CCN(CC)C(=O)c1cccc(F)c1,10,100.0,10,10.1021/jacs.6b13346
52,0.21112264458029867,0.12489879324327774,0.1723405102523667,0.1319502817102342,0.019002630416367756,-0.0906439159096559,0.07085441655210706,0.07968611832177945,-0.035367748638895566,0.1168750355645651,0.22044319942460608,0.24349258410472588,CCN(CC)C(=O)c1cccc(F)c1,13,0.0,10,10.1021/jacs.6b13346
53,-0.00482610082691322,-0.11706034733365879,0.3144994383723633,0.16736402645076714,0.37545849900092815,0.19358611952234198,0.07242701132319079,0.18045095383727056,-0.04558610776545907,0.09013877913284596,-0.06321798803609636,-0.01261720358666869,Fc1cccc(-c2ccccc2)c1,2,100.0,2,10.1021/jacs.6b13346
54,-0.05321885576127561,-0.1751158952020248,0.057821255175262105,0.10725326297394479,0.08573171374260827,0.13494343759266075,0.07218163098108848,0.12082968203646687,0.04739672030322866,-0.06084967454646666,-0.027378591646982916,-0.022250094978023948,Fc1cccc(-c2ccccc2)c1,3,0.0,2,10.1021/jacs.6b13346
55,0.10488383805900096,0.03151008376156707,0.0061654028115644575,-0.011071259628277656,0.23468056045296662,0.04276573249590418,0.06891092193478461,0.014171524621949915,0.0006721072016810737,-0.06972483149272334,-0.23729505621179026,-0.058198986914788545,Fc1cccc(-c2ccccc2)c1,4,0.0,2,10.1021/jacs.6b13346
56,0.10506847275924651,0.031844299111205204,0.03211972993720702,-0.042987683550311656,0.13109727676924884,0.026085438137768487,0.068613584748757,-0.010827727494560312,0.03230238068058716,-0.16742541496351285,-0.10166225283444362,-0.07387148464893357,Fc1cccc(-c2ccccc2)c1,7,0.0,2,10.1021/jacs.6b13346
57,-0.05441898131287175,-0.1755373897194029,0.01872122989507336,0.07332295765514017,0.1297354587421827,0.1506207338586733,0.07224439073315658,0.10964134503019464,0.05070390707448157,-0.1849418481598003,-0.11423747963764132,-0.06330818909321762,Fc1cccc(-c2ccccc2)c1,8,0.0,2,10.1021/jacs.6b13346
58,-0.06470313411654971,-0.1764804304830317,0.2770847590094241,0.14603846094567852,0.3845656570569329,0.22128849074065746,0.07238688623580308,0.18164756742082905,0.0465487236952151,-0.1914781981437979,-0.11172243427700179,-0.051453556723173414,Fc1cccc(-c2ccccc2)c1,9,0.0,2,10.1021/jacs.6b13346
59,0.16651490100097044,0.0877796018315479,0.07138828980912071,0.0006074543646018476,0.05832512594790236,-0.029428325830615335,0.06877459952250553,-0.012752281008116933,-0.05792445841205646,0.10584571431096465,0.0155568255810778,0.004731625788436581,Fc1cccc(-c2ccccc2)c1,12,0.0,2,10.1021/jacs.6b13346
60,-0.004696856536741298,-0.1172710945923479,0.2130416141539425,0.0763437797502961,0.22744590218417776,0.012359627290126043,0.07238071314543566,0.0034817766088270884,-0.04579810691746244,0.08787382923255303,-0.07121223936098633,-0.030655815359489656,Fc1cccc(-c2ccc3ccccc3c2)c1,2,100.0,2,10.1021/jacs.6b13346
61,-0.05163099733916371,-0.17480509621446308,0.025209811676483996,0.02593381103738208,0.04104705972950079,-0.030682073445769297,0.07225056382352389,-0.03962622773886893,0.04697272199922188,-0.06373009996314356,-0.04669054709475081,-0.03667135952561493,Fc1cccc(-c2ccc3ccccc3c2)c1,3,0.0,2,10.1021/jacs.6b13346
62,0.10689635629167768,0.034149746395652276,-0.03571544323208599,-0.11923646982714843,0.1214794369530943,-0.14267989301513423,0.06870206571068913,-0.1578616215743146,0.0016473033008966812,-0.06974945051337864,-0.1754069757303387,-0.06206497663221838,Fc1cccc(-c2ccc3ccccc3c2)c1,4,0.0,2,10.1021/jacs.6b13346
63,0.10793031061305285,0.03408801235017769,-0.06647300622188965,-0.01565643602271068,0.027343765832147822,-0.04017784886141385,0.06827612247534158,-0.062331970486892034,0.024331212565259625,-0.1832431357345806,-0.10974632720792785,-0.05921761906025243,Fc1cccc(-c2ccc3ccccc3c2)c1,7,0.0,2,10.1021/jacs.6b13346
64,0.04386206962784206,-0.07904920540283077,0.1531275667957222,0.06903446914505275,0.20795488167179377,0.03655150518601047,0.07209880868532643,0.012276886447982287,0.021660023250016893,-0.1834154688791681,-0.10211136807741496,-0.052095214767560113,Fc1cccc(-c2ccc3ccccc3c2)c1,8,0.0,2,10.1021/jacs.6b13346
65,0.03307940313350109,-0.07947069992020885,0.15034674603226053,0.07689220280923802,0.22021124391538896,0.057341911291216234,0.07239923241653769,0.025958168420001454,0.025136809342872497,-0.20176894877773774,-0.11639323280390379,-0.06067739111123216,Fc1cccc(-c2ccc3ccccc3c2)c1,10,0.0,2,10.1021/jacs.6b13346
66,-0.05977338761999314,-0.17523936329297385,0.16896981841786765,0.13399113473285446,0.21757272148794835,0.11454550900176408,0.0723884295083949,0.07896815017164431,0.04684552250801985,-0.20984398755269523,-0.09833880003645565,-0.05957053098466511,Fc1cccc(-c2ccc3ccccc3c2)c1,11,0.0,2,10.1021/jacs.6b13346
67,-0.05916409310918278,-0.175748136978092,0.03380507585445652,0.0948103529153265,0.10403114348130946,0.07921163056077198,0.07242135265702072,0.044535594304747655,0.04739672030322866,-0.2068158480120862,-0.10067419929990665,-0.06297933934546941,Fc1cccc(-c2ccc3ccccc3c2)c1,12,0.0,2,10.1021/jacs.6b13346
68,0.03387333234455699,-0.07823176149033974,0.18919396942486183,0.040390602492770995,0.24591555917626223,0.02845120537679814,0.07225982345907496,-0.0041266914266325574,0.024288812734858934,-0.19453095670506232,-0.10893791977057943,-0.06657262439403491,Fc1cccc(-c2ccc3ccccc3c2)c1,13,0.0,2,10.1021/jacs.6b13346
69,0.20475274742182678,0.12906264817252844,0.24742267086583258,0.03475353269020327,0.2526395356849013,-0.005290958700607152,0.06834556974197432,-0.02325256520384308,0.0020289017745027857,-0.16076596987623842,-0.06699055607705567,-0.04768381571240158,Fc1cccc(-c2ccc3ccccc3c2)c1,15,0.0,2,10.1021/jacs.6b13346
70,0.1658871430201355,0.08833946576119665,0.007850748728813993,-0.14366377230494176,0.004618427505481718,-0.22368289110725745,0.06876379661436263,-0.20848834793870338,-0.059026854002474115,0.10330995518346268,-0.02585159982088034,-0.02432746289672587,Fc1cccc(-c2ccc3ccccc3c2)c1,16,0.0,2,10.1021/jacs.6b13346
71,-0.38973406042884084,-0.17171839394073432,-0.36208268010745465,-0.15912750445871598,-0.2602551787588812,-0.007809356084090336,-0.07148984538034808,-0.07459725971836698,0.30586608642576424,0.2717532945074243,-0.1218724387681542,-0.07164974367024464,COC(=O)C(C)c1cccc(F)c1,0,0.0,9,10.1021/jacs.6b13346
72,0.3044554855544313,0.20276458342841602,-0.20576684628256212,-0.09740743397286715,0.07151773808510552,0.021048643370801968,-0.13716689707123464,-0.023731210637266485,-0.01811101766581947,0.13234809004645784,-0.29909331364464753,-0.08720995124662201,COC(=O)C(C)c1cccc(F)c1,4,0.0,9,10.1021/jacs.6b13346
73,-0.19042090151375432,0.029042850702772797,-0.2818602144463777,-0.1664278245220094,-0.21616632013261514,0.07368423890091916,-0.08051233137643536,-0.07520553829000921,-0.2720012021050818,0.19283702379667317,-0.07471533825616283,-0.10670833507042271,COC(=O)C(C)c1cccc(F)c1,5,0.0,9,10.1021/jacs.6b13346
74,0.09208865333198338,-0.020757365153510277,0.04265314192001647,0.05221316515684842,0.2630233981412805,0.11661691810506201,0.07203964990263922,0.1108678739533421,-0.01005504988969055,-0.05442411015541812,-0.21331230223712033,-0.011309825321230798,COC(=O)C(C)c1cccc(F)c1,7,0.0,9,10.1021/jacs.6b13346
