,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,Pyramidalization_C_MFF,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
54,-0.047498355175546327,-0.1889335033416863,-0.3872226365659069,Fc1cccc(-c2ccccc2)c1,3,0.0,2,10.1021/jacs.6b13346
55,0.10904947365516099,0.04286926906206943,-0.3780422857716227,Fc1cccc(-c2ccccc2)c1,4,0.0,2,10.1021/jacs.6b13346
56,0.10878007262959193,0.04229369228088755,-0.3787559781774291,Fc1cccc(-c2ccccc2)c1,7,0.0,2,10.1021/jacs.6b13346
57,-0.04799287212659098,-0.18790152206441296,-0.38806170736732803,Fc1cccc(-c2ccccc2)c1,8,0.0,2,10.1021/jacs.6b13346
58,-0.05587008430573163,-0.18930369809962705,-0.3896602819114148,Fc1cccc(-c2ccccc2)c1,9,0.0,2,10.1021/jacs.6b13346
59,0.17020535167185263,0.1119181981596309,-0.37863542202779965,Fc1cccc(-c2ccccc2)c1,12,0.0,2,10.1021/jacs.6b13346
60,0.006306196225615763,-0.11750873528391562,-0.3896349651199926,Fc1cccc(-c2ccc3ccccc3c2)c1,2,100.0,2,10.1021/jacs.6b13346
61,-0.04733782168770719,-0.1891845258145366,-0.3871683862985736,Fc1cccc(-c2ccc3ccccc3c2)c1,3,0.0,2,10.1021/jacs.6b13346
62,0.10926351830561316,0.04199956493896197,-0.37815199186778553,Fc1cccc(-c2ccc3ccccc3c2)c1,4,0.0,2,10.1021/jacs.6b13346
63,0.11181175677349627,0.04184996568746526,-0.37852089368565167,Fc1cccc(-c2ccc3ccccc3c2)c1,7,0.0,2,10.1021/jacs.6b13346
64,0.051429022795937786,-0.0740209935480064,-0.3879724958166022,Fc1cccc(-c2ccc3ccccc3c2)c1,8,0.0,2,10.1021/jacs.6b13346
65,0.04426221743079791,-0.07459657032918841,-0.3895252590238298,Fc1cccc(-c2ccc3ccccc3c2)c1,10,0.0,2,10.1021/jacs.6b13346
66,-0.05234388321078254,-0.18852020371467013,-0.38946739207200765,Fc1cccc(-c2ccc3ccccc3c2)c1,11,0.0,2,10.1021/jacs.6b13346
67,-0.052452750748512474,-0.1891109939790552,-0.38975552126962204,Fc1cccc(-c2ccc3ccccc3c2)c1,12,0.0,2,10.1021/jacs.6b13346
68,0.04430465731838756,-0.07399310216213419,-0.38978083806104424,Fc1cccc(-c2ccc3ccccc3c2)c1,13,0.0,2,10.1021/jacs.6b13346
69,0.20752477456319,0.16230018336705407,-0.3783846652365704,Fc1cccc(-c2ccc3ccccc3c2)c1,15,0.0,2,10.1021/jacs.6b13346
70,0.16991380809623677,0.11051602212441684,-0.3787849116533402,Fc1cccc(-c2ccc3ccccc3c2)c1,16,0.0,2,10.1021/jacs.6b13346
71,-0.37649605419555393,-0.17564452576382494,0.5455359654167596,COC(=O)C(C)c1cccc(F)c1,0,0.0,9,10.1021/jacs.6b13346
72,0.32166962005432104,0.2799612624594178,0.5411163769713431,COC(=O)C(C)c1cccc(F)c1,4,0.0,9,10.1021/jacs.6b13346
73,-0.1789217705531783,0.035620044315817646,0.5947566301874798,COC(=O)C(C)c1cccc(F)c1,5,0.0,9,10.1021/jacs.6b13346
74,0.18730124552046784,0.19819893256517673,-0.38729497025568455,COC(=O)C(C)c1cccc(F)c1,7,0.0,9,10.1021/jacs.6b13346
75,-0.0379659873804092,-0.18804858573537575,-0.3894890921789409,COC(=O)C(C)c1cccc(F)c1,8,0.0,9,10.1021/jacs.6b13346
76,0.006415063763345804,-0.1170497952072904,-0.38952164233934083,COC(=O)C(C)c1cccc(F)c1,9,100.0,9,10.1021/jacs.6b13346
77,0.1666256394142906,0.07129566242696235,-0.38887305025433433,COC(=O)C(C)c1cccc(F)c1,12,0.0,9,10.1021/jacs.6b13346
78,-0.3669655316129207,-0.17589554823667528,0.5568079654071151,COc1cccc(F)c1,0,0.0,5,10.1021/jacs.6b13346
79,0.02850779307251661,-0.09473922209002233,-0.3901714399858437,COc1cccc(F)c1,3,0.0,5,10.1021/jacs.6b13346
80,-0.053709340463666995,-0.18945076177058984,-0.3901714399858437,COc1cccc(F)c1,4,0.0,5,10.1021/jacs.6b13346
81,0.006005426587480445,-0.11711064914010251,-0.39017023442434745,COc1cccc(F)c1,5,100.0,5,10.1021/jacs.6b13346
82,0.1654225608617491,0.1233181682397806,-0.3901714399858437,COc1cccc(F)c1,8,0.0,5,10.1021/jacs.6b13346
83,-0.327193821303903,-0.08803514715854631,0.5812917138353643,CCOC(=O)c1ncccc1C,0,0.0,8,10.1021/jacs.7b04490
84,-0.0970902864303093,0.017029167841694504,0.5694169330968614,CCOC(=O)c1ncccc1C,1,0.0,8,10.1021/jacs.7b04490
85,-0.06753920818038264,-0.2105366494900126,-0.39012562864898453,CCOC(=O)c1ncccc1C,7,0.0,8,10.1021/jacs.7b04490
86,-0.06527144201309193,-0.19385252957733806,-0.39011477859551785,CCOC(=O)c1ncccc1C,8,100.0,8,10.1021/jacs.7b04490
87,0.04347800211664124,-0.06589952909811339,-0.39004726715172533,CCOC(=O)c1ncccc1C,9,0.0,8,10.1021/jacs.7b04490
88,-0.18664767530699927,-0.042835888562294526,0.5826756984331105,CCOC(=O)c1ncccc1C,11,0.0,8,10.1021/jacs.7b04490
89,-0.32697977665345085,-0.08862593742293139,0.5812181745840902,CCOC(=O)c1ccc2c(ccn2C)c1,0,0.0,11,10.1021/jacs.7b04490
90,-0.09541483347676986,0.01747289443511665,0.569448277695765,CCOC(=O)c1ccc2c(ccn2C)c1,1,0.0,11,10.1021/jacs.7b04490
