,Bmax_2.0_avg,Bmax_2.0_min,Bmax_4.5_min,Bmin_2.0_avg,Bmin_3.0_avg,Bmin_3.0_min,Bmin_3.5_avg,Bmin_3.5_min,Bmin_4.0_avg,Bmin_4.0_min,S_bur_2.0_avg,V_occ_avg,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
90,-0.02122941601347637,-0.250643041202585,-0.08301052075935557,-0.0432246936566596,-0.026973964214616612,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,0.027837734804733453,-0.13747725129615196,CCOC(=O)c1ccc2c(ccn2C)c1,1,0.0,11,10.1021/jacs.7b04490
91,0.07860091375952867,0.15549796507545333,0.386582947992085,-0.0432246936566596,-0.018297167110716803,0.0008868564602138912,-0.0258686752314881,-0.004167831418995114,0.0022785343940232065,0.02158928917578968,0.06937390228672985,-0.1373975850181904,CCOC(=O)c1ccc2c(ccn2C)c1,6,0.0,11,10.1021/jacs.7b04490
92,-0.007893464164302883,0.06900358715162178,-0.08301052075935557,-0.0432246936566596,-0.022784209778854436,-0.00360018620792374,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,0.01634468829689673,-0.13754048640428407,CCOC(=O)c1ccc2c(ccn2C)c1,7,0.0,11,10.1021/jacs.7b04490
93,-0.32876642188193833,-0.2518693705660137,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.06362040621132121,-0.13752455314869166,CCOC(=O)c1ccc2c(ccn2C)c1,10,0.0,11,10.1021/jacs.7b04490
94,-0.13960995729429862,-0.06271290597837395,-0.08301052075935557,-0.0432246936566596,-0.028951727886410407,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.041295453863432086,-0.13746530135445775,CCOC(=O)c1ccc2c(ccn2C)c1,11,100.0,11,10.1021/jacs.7b04490
95,0.2592185901813668,-0.03525536753258842,-0.08301052075935557,-0.035272174662226846,-0.004698136173337207,-0.009767704315479712,-0.0308344861339723,-0.01011365936321278,-0.012800032058488597,-0.00853946175952523,-0.30660895109944386,-0.1375026449222523,CCOC(=O)c1ccc2c(ccn2C)c1,13,0.0,11,10.1021/jacs.7b04490
96,0.17092607583019345,0.2478231271461181,-0.08301052075935557,0.03283843916760747,-0.02035046555483909,-0.001166441983908395,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,0.06782105644021491,-0.13749816369411694,CCOC(=O)c1ccc2c(ccn2C)c1,14,0.0,11,10.1021/jacs.7b04490
97,0.07601610264464896,-0.250643041202585,-0.08301052075935557,-0.0432246936566596,-0.026295537222785458,-0.009767704315479712,-0.029099797286448868,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,-0.29958450750000254,-0.09617111470234345,CCOC(=O)c1cccnc1C(=O)OCC,0,0.0,7,10.1021/jacs.7b04490
98,-0.06151837536941747,-0.250643041202585,-0.08301052075935557,-0.0432246936566596,-0.027513102314355775,-0.009767704315479712,-0.03181450317570576,-0.01011365936321278,-0.027850216541291703,-0.00853946175952523,0.018416208752482496,-0.09614987168932496,CCOC(=O)c1cccnc1C(=O)OCC,1,0.0,7,10.1021/jacs.7b04490
99,0.16555318530868748,0.24245023662461213,-0.08301052075935557,-0.02220271493902419,-0.02246682513916223,-0.0032828015682315336,0.0026128499801838464,0.024313693792676835,-0.027850216541291703,-0.00853946175952523,0.023558825161865023,-0.0961672986876291,CCOC(=O)c1cccnc1C(=O)OCC,6,0.0,7,10.1021/jacs.7b04490
