,SMILES
52,O=C(CCC1CCCCC1)C(F)(F)F
53,O=C(CF)CCC1CCCCC1
54,O=C(CCCC1CCCCC1)C(F)(F)F
55,O=C(CCl)CCCC1CCCCC1
56,O=C(CF)CCCC1CCCCC1
57,CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](C1)C[C@@H](OC(C)=O)[C@@H]1[C@@H]2C[C@H](OC(C)=O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)C(F)(F)F)CC[C@@H]12
58,Oc1ccccc1O
59,CC(C)(C)c1cccc(C(C)(C)C)c1O
60,C1#CCCCCCCCC1
61,CC[C@H](C)c1ccccc1
62,CC(C)CCC(C)N
63,OC1CCC1
64,C[C@@H](O)[C@H]1CO1
65,OC1CC2CCC1(O)CC2
66,C1CCOCC1
67,CC(=O)O[C@H]1CC[C@@]2(CO2)[C@]2(C1)O[C@@H]2[C@@H]1O[C@@]12CCC[C@]1(C)[C@@H]([C@H](C)[C@H]3O[C@@H]3[C@H](C)C(C)C)CC[C@H]12
68,CC(=O)O[C@H]([C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@]12C)[C@H](OC(C)=O)[C@H](C)C(C)C
69,c1ccc2c(c1)[C@H]1c3ccccc3[C@@H]3c4ccccc4[C@H]4c5ccccc5[C@H]2C134
70,CCCCC1CC1
71,CC(C)CCC1CC1
72,C1CCC2(CC1)CC2
73,C1C2C[C@H]3CC1C1C2[C@H]1C3
74,C1C2C3[C@H]4C1[C@@H]([C@@H]23)[C@@H]1C2CC3[C@@H]1[C@H]3[C@H]24
75,C1C2CC3CC1CC(C2)C31CC1
76,C1C2C[C@H]3CC(C[C@@H]1C3)[C@]21CO1
77,C1CC[C@H]2O[C@H]2C1
78,O=C(O[C@@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1
79,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C(=O)CCC[C@]12C
80,CC(C)[C@@H]1CC[C@@]2(C)CCC[C@H](C)[C@@H]2[C@H]1OC(=O)NCC(F)(F)F
81,CC(=O)OC[C@]12CC[C@@H](C(C)(C)O)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
82,CC(C)CCCC(C)CCOC(=O)c1ccccc1
83,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC(=O)[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1
84,CC(=O)OC[C@]12CC[C@@H](C(C)(C)O)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
85,COC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](CC(C)C)NC(=O)OC(C)(C)C
86,C12C3C4C1C1C2C3C41
87,OC12C3C4C5C3C1C5C42
88,BrC12CC3CC(CC(C3)C1)C2
89,N#CC12CC3CC(CC(C3)C1)C2
90,OC12CC3CC(CC(C3)C1)C2
91,NC12CC3CC(CC(C3)C1)C2
92,CC(C)(C)OC(=O)NC12CC3CC(CC(C3)C1)C2
93,C1CC[C@H]2CCCC[C@@H]2C1
94,C1CC[C@@H]2CCC[C@H]2C1
95,CC(=O)OCCC(C)CCCC(C)C
96,CC(C)CCOC(=O)c1ccccc1
97,COC(=O)C(CC(C)C)N1C(=O)c2ccccc2C1=O
98,CC(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C
99,COC(=O)C(NC(=O)OC(C)(C)C)C1CCC(C)CC1
100,c1ccc(C2CCCCC2)cc1
101,Brc1ccc(C2CCC2)cc1
102,CC1CCC(c2ccccc2)CC1
103,CC(C)c1ccc2c(S(=O)(=O)Cl)cn(S(=O)(=O)c3ccccc3)c2c1
104,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](O)C2
105,OC1C2CC3CC(C2)CC1C3
106,COC(=O)C(C)c1ccc(CC(C)C)cc1
107,COC(=O)C(C1CCCCC1)N1C(=O)c2ccccc2C1=O
108,CC1(C)CCC[C@]2(C)[C@H]3CC(=O)O[C@]3(C)CC[C@@H]12
109,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C
110,CC1(C)CCC[C@]2(C)[C@H]3CC(=O)O[C@]3(C)CC[C@@H]12
111,c1ccc2c(c1)[C@H]1c3ccccc3[C@@H]3c4ccccc4[C@H]4c5ccccc5[C@H]2C134
112,O[C@]12c3ccccc3[C@H]3c4ccccc4[C@@H]4c5ccccc5[C@@H](c5ccccc51)C432
113,CCCCOC(=O)c1ccc(Cl)cc1
114,CCCCCOC(=O)c1ccc(Cl)cc1
115,CCCCCCOC(=O)c1ccc(Cl)cc1
116,CCCCC(C)OC(=O)c1ccc(Cl)cc1
117,O=C(OC1CCCCC1)c1ccc(Cl)cc1
118,O=C(OC1CCCCCC1)c1ccc(Cl)cc1
119,O=C(O[C@@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1
120,O=C(O[C@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1
121,CC(=O)O[C@H]1CCC[C@@H]2CCCC[C@@H]21
122,CCC(C)COC(=O)c1ccc(Cl)cc1
123,CC(=O)O[C@H]1CC[C@@]2(CO2)[C@]2(C1)O[C@@H]2[C@@H]1O[C@@]12CCC[C@]1(C)[C@@H]([C@H](C)[C@H]3O[C@@H]3[C@H](C)C(C)C)CC[C@H]12
124,CC(=O)OCC1C2CC3CC(C2)CC1C3
125,CC(=O)NC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
126,CC(=O)OC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
127,FC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
128,CS(=O)(=O)OC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
129,Cc1ccc(S(=O)(=O)OC2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)cc1
130,O=[N+]([O-])OC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
131,[NH3+]C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
132,C1C2CC3CC1C1C(C2)C31
133,O=C(CCl)CCC1CCCCC1
134,CCC(CCC(=O)C(=O)OC)C1CCCCC1
135,C[C@@H]1CCC[C@@](C)(OCCC(=O)C(F)(F)F)C1
136,CC(=O)C12CC3CC(CC(C3)C1)C2
137,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O
138,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
139,CC1=CC[C@@](O)(C(C)C)CC1
140,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
141,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
142,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@@H]21
143,CC1(C)[C@@H]2CC(=O)C=C[C@@H]21
144,CC(O)CCO
145,CCCC(O)CO
146,CC(O)CCCO
147,CC(=O)OC(C)C(O)C(C)O
148,CC(C)C(Br)C(O)C(C)O
149,COCC(O)C(O)C(C)C
150,CC(=O)OCC(O)C(O)C(C)C
151,CCCCCC(O)C(O)CN=[N+]=[N-]
152,CCCCCC(O)C(O)CO
153,CCCCC(O)C(O)CCOC
154,CCCCC(O)C(O)CCO
155,CCCCC(O)C(O)CCOC(C)=O
156,CCCCCC(O)C(O)C(C)OC
157,CCCCCC(O)C(O)C(C)OC(C)=O
158,CCCCCCC(O)C(O)C(=O)OC
159,CCCCCCCCCC(O)C(O)C(=O)OCC
160,CCCCCCCCCC(O)C(O)C(=O)OC
161,OC[C@H]1CCC[C@H]1O
162,CC(O)CCCCO
163,OC1CCCC(Br)C1O
164,[N-]=[N+]=NC1CCCC(O)C1O
165,OC1CCCC(O)C1O
166,COC1CCCC(O)C1O
167,CCC(O)C(CCCO)[N+](=O)[O-]
168,CCC(O)C(CCC(C)O)[N+](=O)[O-]
169,CCC(O)C(CCCCCO)[N+](=O)[O-]
170,CC(O)C(O)c1ccc([N+](=O)[O-])cc1
171,CC(O)C(O)c1ccccc1[N+](=O)[O-]
172,CC(O)C(O)c1ccccc1
173,COc1ccc(C(O)C(C)O)cc1
174,CC(C)Cc1ccccc1
175,COC(=O)C(O)C(O)c1ccccc1
176,CCOC(=O)C(O)C(O)c1ccc([N+](=O)[O-])cc1
177,COC(=O)C(O)C(O)c1ccc(OC)cc1
178,CCC(O)C(C1CCCC(O)C1)[N+](=O)[O-]
179,CC(=O)C1CCOC1=O
180,CCC(=O)C1CCOC1=O
181,CCOC(=O)C(Cc1ccccc1)C(C)=O
182,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
183,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OC(C)=O)CC[C@@H]12
184,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
185,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@@H]32)C1(C)C
186,CC(C)O
187,C1CCOC1
188,CCCCO
189,C1CCC1
190,CC(O)[C@H]1CO1
191,CC(O)C(C)O
192,C[C@H](O)[C@H](C)O
193,C1C[C@H]2C[C@@H]12
194,CC(C)CCN
195,CC(O)CC(C)O
196,C1CCOCC1
197,CCC(O)[C@H]1CO1
198,CC(O)CC1CO1
199,C[C@@H](O)C[C@H]1CO1
200,OC1C[C@@H]2O[C@@H]2C1
201,CC(=O)C1CCOC1=O
202,[N-]=[N+]=NC1CC(O)CCC1O
203,[N-]=[N+]=NC1CCC(O)CC1O
204,CC(C)C1CC1
205,OC1CCCCC1
206,CC1CCCOC1
207,O[C@@H]1CCCC[C@H]1O
208,OC1CCCCC1O
209,OC1CCCC(O)C1
210,OC1CCC(O)CC1
211,CC1CCNCC1
212,CC(O)CCC(C)O
213,OC1CC[C@H]2O[C@H]2C1
214,C1CC[C@H]2O[C@H]2C1
215,OC1CCC(O)C(O)C1
216,CC(=O)OC1CCC(O)C(O)C1
217,CC(O)C#CC(C)O
218,CC(C)CCC(C)N
219,C/C(=C/CC(C)O)[N+](=O)[O-]
220,C1CCC2CC2C1
221,O[C@@H]1C[C@@H]2CC[C@H]1C2
222,C1CN2CCC1CC2
223,c1ccc2c(c1)COC2
224,CC(=O)C1CCCC1=O
225,C1CC2CCC1CC2
226,OC1CCCCC2OC2C1
227,OC1CCCC2OC2CC1
228,C[C@H]1CCCC[C@@H]1C
229,C[C@@H]1CCCC[C@@H]1C
230,CCCCCC(O)CC
231,C1CCCC2OC2CC1
232,O[C@H]1CCCCC[C@@H]2O[C@@H]21
233,CC(O)c1ccc(Br)cc1
234,CC(O)c1ccc(Cl)cc1
235,CC(O)c1ccc(F)cc1
236,CC(O)c1ccccc1
237,Cc1ccc(C(C)O)cc1
238,COc1ccc(C(C)O)cc1
239,CC(O)c1ccc(C#N)cc1
240,CCCCC(O)C(O)CCOC
241,C[C@@H](O)[C@H](O)c1ccccc1
242,C1CCC[C@H]2C[C@H]2CC1
243,CC(O)c1cc2ccccc2o1
244,CC[C@H](C)c1ccccc1
245,CCCCCCC[N+](C)(C)C.F[B-](F)(F)F
246,C[C@]12CC[C@@H]3O[C@@H]3[C@@H]1CC[C@@H]2O
247,O[C@H]1C[C@H]2CC[C@]1(O)CC2
248,C[C@H]1C2CC(C[C@@H]1O)C2(C)C
249,CC1(C)[C@@H]2C[C@H](O)[C@@](C)(O)[C@H]1C2
250,OC1CC2CC3C[C@H](C2)C[C@@]1(O)C3
251,COC(=O)[C@H]1CCCN1C(=O)OC(C)(C)C
252,C1[C@@H]2C[C@@H]3C[C@H]1C1C2C1C31CC1
253,CCOC(=O)C(C(C)=O)c1ccccc1
254,C=C1C(=O)OO[C@]12C1CC3CC2C[C@@H](C3)C1
255,CC1(C)OC12C1CC3CC(C1)CC2C3
256,OC(c1ccccc1)C(O)c1ccccc1
257,O[C@H](c1ccccc1)[C@H](O)c1ccccc1
258,OC12C3CC4C(C3C3C5CC6C3C6C51)C42
259,CC1c2ccccc2-c2ccccc21
260,CC(C)(C)C1c2ccccc2-c2ccccc21
261,c1ccc(C2c3ccccc3-c3ccccc32)cc1
262,O=C1C[C@@H](c2ccccc2)Oc2ccccc21
263,O=C(CC(=O)c1ccccc1)c1ccccc1
264,CCOC(=O)C1CCCN1C(=O)OCc1ccccc1
265,c1ccc(C2Cc3ccccc3CO2)cc1
266,Fc1ccc(C2Cc3ccccc3CO2)cc1
267,Fc1cccc(C2Cc3ccccc3CO2)c1
268,COc1ccc(C2Cc3ccccc3CO2)cc1
269,CC(=O)Oc1ccc([C@@H]2CCc3c(OC(C)=O)cc(OC(C)=O)cc3O2)cc1
270,CC(=O)O[C@H]1C[C@@H](c2ccccc2)Oc2ccccc21
271,CC(C)CCC[C@H](C)[C@H]1CC[C@H]2C(=O)CCC[C@]12C
272,CC(C)[Si](O[C@H]1C=CC(=O)C2C(=O)C=CC[C@H]21)(C(C)C)C(C)C
273,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
274,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
275,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@H]3[C@@H]4CCC[C@@]4(C)CC[C@@H]32)C1
276,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@H]3C4CC[C@H](OC(C)=O)[C@@]4(C)CC[C@@H]32)C1
277,CC[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](OC(C)=O)CC[C@]4(C)[C@H]3CC[C@]12C
278,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(C)C)CC[C@@H]32)C1
279,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C)CC[C@@H]32)C1
280,CCC(C)C
281,CCCC(C)C
282,CCCCC(C)C
283,CCCCCC(C)C
284,CC(C)CCC(C)(C)C
285,CCC(C)(O)C(C)C
286,CC(C)CC(C)(C)O
287,CC(C)CCC(C)(C)O
288,CCC(C)(O)CCCC(C)C
289,CC(C)(C)C1CCC(O)CC1
290,CCCCCCCC(=O)O[C@H]1/C(=C/C(=O)OC)C[C@@]2(C)C[C@@H](CO)OC(=O)C[C@H](O)C[C@@H]3OCC[C@H](C[C@@H]4CCO[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3
291,CCCCCCCC(=O)O[C@H]1/C(=C/C(=O)OC)C[C@@]2(C)C[C@@H]([C@@H](C)O)OC(=O)C[C@H](O)C[C@@H]3OCC[C@H](C[C@@H]4CCO[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3
292,CCCCCCCC(=O)O[C@H]1/C(=C/C(=O)OC)C[C@@]2(C)C[C@@H]([C@@H](C)OC(C)=O)OC(=O)C[C@H](O)C[C@@H]3OCC[C@H](C[C@@H]4CCO[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3
293,CC(C)[C@H]1CC[C@@]2(C)[C@@H]1CC[C@]1(C)[C@@H]2CC[C@@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3CC[C@]21C
294,CC(C)[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12
295,CC(C)[C@@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12
296,CC[Si](CC)(CC)O[C@H]1C[C@]2(C)C[C@@H]3O[C@@H]3[C@@](C)(O)[C@H]2[C@@H](O)[C@@H]2C[C@H](O[Si](C)(C)C(C)(C)C)C(C)=C1C2(C)C
297,CC[Si](CC)(CC)O[C@H]1C[C@H](OC(C)=O)[C@]2(C)[C@H](C[C@@H]3C[C@H](OC(C)=O)C(C)=C([C@@H](OC(C)=O)[C@@H]2OC(C)=O)C3(C)C)[C@@]12CO2
298,CC[Si](CC)(CC)O[C@H]1C[C@H](OC(C)=O)[C@]2(C)[C@H](C[C@@H]3C[C@H](OC(C)=O)C(C)=C([C@@H](OC(C)=O)[C@@H]2OC(C)=O)C3(C)C)[C@]12CO2
299,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
300,CC1CCC2C(C)(C)C3CC12CCC3(C)O
301,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
302,CC1(C)[C@@H]2CC(=O)C=C(Cl)[C@@H]21
303,CC(=O)O[C@H]1C(=O)C=C[C@H]2[C@@H]1C2(C)C
304,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
305,CC(C)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C
306,C[C@@]12CCC[C@H]1[C@@H]1CCC3CCCC[C@]3(C)[C@H]1CC2
307,C[C@]12CCCC[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
308,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]32)C1
309,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(C)=O)CC[C@]4(C)[C@H]3CC[C@]12C
310,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(C)=O)CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C
311,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C
312,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(C)=O)CC[C@]4(C)[C@H]3C(=O)[C@H](Br)[C@]12C
313,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
314,OCC1CCC(O)C1
315,CC=O
316,CCCCCOC(=O)Oc1ccc(Cl)cc1
317,CC(=O)O[C@H]1CCC[C@@H]2CCCC[C@@H]21
318,O=C(Oc1ccc(Cl)cc1)OC1CCCCC1
319,CCCCCCOC(=O)Oc1ccc(Cl)cc1
320,CCCCC(C)OC(=O)Oc1ccc(Cl)cc1
321,O=C(Oc1ccc(Cl)cc1)OC1CC2CCC1C2
322,O=C(Oc1ccc(Cl)cc1)OC1CCCCCC1
323,CCCCOC(=O)Oc1ccc(Cl)cc1
324,COC(=O)C(NC(=O)OC(C)(C)C)[C@@H](C)O
325,CC(C)CCC[C@@H](C)[C@H]1CCC2C3CCC4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C
326,CC(=O)Oc1ccc2c(c1)CCC1C2C(=O)C[C@]2(C)C(=O)CC[C@@H]12
327,OC1C2CC3CC(C2)CC1(O)C3
