,C_n_charge_avg,gas_charge_C,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,S_bur_2.0_avg,L_cc1_min,Pyramidalization_H_max,num_O,Pyramidalization_H_max_MFF,gas_charge_H_max,dual_H_max,charge_C,Bmax_2.0_min,Buried_Volume_C,Bmin_3.0_avg,Bmax_2.0_avg,Bmin_2.0_avg,Local_Nucleophilicity_H_max,V_occ_avg,num_H,num_C,Pyramidalization_C_MFF,L_ch1_avg,bde_avg,n_Csp3,C_charge,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
30,-0.068484,-0.04755,0.514029,0.419202,60.66319,4.2,1.659851,0,1.654343,0.02722,0.003028,-0.05822,3.491776,0.51355,0.0,3.492313,0.95,0.057247,132.488813,2,2,0.784259,2.15,98.93982696533205,2,-0.158354,C1C2CC3CC1CC(C2)C3,0,93.02325581395348,0,10.1021/ja00199a039
31,-0.1562,-0.04064,0.587064,0.418183,73.019082,4.2,1.613553,0,1.614399,0.0303,-0.01103,-0.01118,0.989949,0.58811,0.0,0.989949,0.95,0.081768,132.510875,1,3,0.766865,2.15,97.62078094482422,3,-0.070973,C1C2CC3CC1CC(C2)C3,1,6.976744186046512,0,10.1021/ja00199a039
32,-0.121824,-0.06129,0.274489,0.343168,37.427277,4.6,1.698544,0,1.690793,0.02337,-0.025742,-0.09698,1.006231,0.27687,0.012475,4.970422,0.963316,0.072945,108.562625,3,1,0.809471,3.133333,100.11365509033205,1,-0.214059,CCc1ccccc1,0,0.0,1,10.1021/ja00199a039
33,-0.072355,-0.03074,0.429475,0.391469,55.83089,3.2,1.663857,0,1.64895,0.03131,-0.028795,-0.05759,3.540127,0.42913,0.0,3.54101,0.95,0.076485,108.570438,2,2,0.796911,2.225,86.91826629638672,1,-0.121824,CCc1ccccc1,1,100.0,1,10.1021/ja00199a039
34,-0.040512,-0.05906,0.493891,0.39734,54.333228,4.2,1.998862,0,1.999742,0.06256,0.022622,-0.03767,4.980462,0.4964,0.0,4.980462,0.95,0.073212,108.5475,1,2,0.000614,2.15,110.4856948852539,0,-0.145155,CCc1ccccc1,3,0.0,1,10.1021/ja00199a039
35,-0.144662,-0.06199,0.42212,0.328509,50.992939,4.2,1.999678,0,1.999475,0.06228,0.016694,-0.03095,0.982344,0.42284,0.0,0.982344,0.95,0.080735,108.5635,1,2,0.001251,2.15,110.79108428955078,0,-0.150372,CCc1ccccc1,4,0.0,1,10.1021/ja00199a039
36,-0.150889,-0.06225,0.418835,0.328253,50.917046,4.2,1.999488,0,1.999282,0.06227,0.013594,-0.03368,0.982344,0.41826,0.0,0.982344,0.95,0.086063,108.572625,1,2,0.001716,2.15,111.27791595458984,0,-0.144169,CCc1ccccc1,5,0.0,1,10.1021/ja00199a039
37,-0.047563,-0.05868,0.328009,0.387189,41.745553,5.05,1.697163,0,1.687651,0.02365,-0.017114,-0.10164,3.542951,0.32964,0.030861,5.800761,0.963316,0.061137,123.631042,3,1,0.815616,2.933333,99.8303451538086,1,-0.224903,CC(C)c1ccccc1,0,0.0,1,10.1021/ja00199a039
38,-0.127886,-0.02188,0.555319,0.471423,73.391252,3.2,1.602549,0,1.586463,0.03465,-0.03207,-0.01421,5.308484,0.55427,0.001535,5.308484,0.95,0.070039,123.6355,1,3,0.78082,2.55,85.6570053100586,2,-0.047563,CC(C)c1ccccc1,1,100.0,1,10.1021/ja00199a039
39,-0.039395,-0.05878,0.494246,0.390089,58.064564,4.2,2.0,0,1.999999,0.06257,0.028861,-0.03418,4.94899,0.53996,0.02644,4.94899,0.95,0.066075,123.632875,1,2,3e-06,2.75,109.98897552490234,0,-0.129057,CC(C)c1ccccc1,4,0.0,1,10.1021/ja00199a039
40,-0.137412,-0.06198,0.421071,0.328399,51.011884,4.2,2.0,0,2.0,0.06228,0.020032,-0.03153,0.982344,0.4287,0.0,0.982344,0.95,0.075816,123.632125,1,2,1e-06,2.15,110.77418518066406,0,-0.145487,CC(C)c1ccccc1,5,0.0,1,10.1021/ja00199a039
41,-0.14666,-0.06225,0.418637,0.328038,50.87695,4.3,2.0,0,1.999999,0.06227,0.018649,-0.03349,0.982344,0.41793,0.0,0.982344,0.95,0.080277,123.638375,1,2,2e-06,2.15,111.30487060546876,0,-0.145767,CC(C)c1ccccc1,6,0.0,1,10.1021/ja00199a039
42,-0.256733,0.07751,0.249668,0.333331,37.165552,7.15,1.709554,1,1.705134,0.06686,-0.006986,0.03878,0.986154,0.24898,0.01495,6.099684,0.95,0.06063,140.595042,3,0,0.786069,2.766667,96.62377166748048,0,-0.064281,COc1ccc(C(C)O)cc1,0,0.0,6,10.1016/S0040-4039(00)78488-7
43,0.01862,-0.01961,0.470305,0.364803,56.493275,4.2,1.999058,0,1.999298,0.0662,0.031174,-0.05497,4.702393,0.46618,0.00717,4.702393,0.95,0.061763,140.602125,1,2,0.001667,2.9,111.17901611328124,0,-0.171005,COc1ccc(C(C)O)cc1,3,0.0,6,10.1016/S0040-4039(00)78488-7
