,Buried_Volume_C_MMFF,Buried_Volume_H_max_MFF,Buried_Volume_H_mean_MFF,Buried_Volume_H_min_MFF,Pyramidalization_C_MFF,Pyramidalization_H_max_MFF,Pyramidalization_H_mean_MFF,Pyramidalization_H_min_MFF,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
68,0.488929,0.388726,0.388726,0.388726,0.000938,1.999608,1.999608,1.999608,CC(O)c1ccc(Br)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
69,0.311661,0.371401,0.341886,0.307358,0.814081,1.690599,1.688139,1.68611,CC(O)c1ccc(C#N)cc1,0,1.9801980198019802,1,10.1016/S0040-4039(00)78488-7
70,0.511525,0.443819,0.443819,0.443819,0.815062,1.594751,1.594751,1.594751,CC(O)c1ccc(C#N)cc1,1,98.01980198019803,1,10.1016/S0040-4039(00)78488-7
71,0.504141,0.412703,0.412703,0.412703,0.011192,1.995268,1.995268,1.995268,CC(O)c1ccc(C#N)cc1,4,0.0,1,10.1016/S0040-4039(00)78488-7
72,0.477742,0.378483,0.378483,0.378483,0.004557,1.998091,1.998091,1.998091,CC(O)c1ccc(C#N)cc1,5,0.0,1,10.1016/S0040-4039(00)78488-7
73,0.42032,0.328084,0.328084,0.328084,0.002543,1.998935,1.998935,1.998935,c1ccc2c(c1)CCOC2,0,0.0,9,10.1016/S0040-4020(97)00622-4
74,0.420594,0.328148,0.328148,0.328148,0.002196,1.99908,1.99908,1.99908,c1ccc2c(c1)CCOC2,1,0.0,9,10.1016/S0040-4020(97)00622-4
75,0.474609,0.37606,0.37606,0.37606,0.002302,1.999032,1.999032,1.999032,c1ccc2c(c1)CCOC2,2,0.0,9,10.1016/S0040-4020(97)00622-4
76,0.47402,0.375425,0.375425,0.375425,0.001643,1.99931,1.99931,1.99931,c1ccc2c(c1)CCOC2,5,0.0,9,10.1016/S0040-4020(97)00622-4
77,0.45892,0.41166,0.399573,0.387486,0.783194,1.662295,1.659503,1.656711,c1ccc2c(c1)CCOC2,6,0.0,9,10.1016/S0040-4020(97)00622-4
78,0.404637,0.403688,0.367374,0.33106,0.79785,1.659954,1.657572,1.65519,c1ccc2c(c1)CCOC2,7,0.0,9,10.1016/S0040-4020(97)00622-4
79,0.442945,0.404153,0.389781,0.375408,0.811355,1.652448,1.650357,1.648266,c1ccc2c(c1)CCOC2,9,100.0,9,10.1016/S0040-4020(97)00622-4
80,0.335073,0.433814,0.364345,0.325499,0.814727,1.689581,1.68784,1.686034,CC1Cc2ccccc2CO1,0,0.0,9,10.1016/S0040-4020(97)00622-4
81,0.532065,0.407735,0.407735,0.407735,0.798335,1.594226,1.594226,1.594226,CC1Cc2ccccc2CO1,1,0.0,9,10.1016/S0040-4020(97)00622-4
82,0.508485,0.434367,0.427375,0.420384,0.794799,1.656227,1.652514,1.6488,CC1Cc2ccccc2CO1,2,0.0,9,10.1016/S0040-4020(97)00622-4
83,0.479233,0.376893,0.376893,0.376893,0.001901,1.999201,1.999201,1.999201,CC1Cc2ccccc2CO1,4,0.0,9,10.1016/S0040-4020(97)00622-4
84,0.420233,0.328329,0.328329,0.328329,0.002789,1.998832,1.998832,1.998832,CC1Cc2ccccc2CO1,5,0.0,9,10.1016/S0040-4020(97)00622-4
85,0.420425,0.328218,0.328218,0.328218,0.001903,1.999203,1.999203,1.999203,CC1Cc2ccccc2CO1,6,0.0,9,10.1016/S0040-4020(97)00622-4
86,0.477614,0.376287,0.376287,0.376287,0.001325,1.999443,1.999443,1.999443,CC1Cc2ccccc2CO1,7,0.0,9,10.1016/S0040-4020(97)00622-4
87,0.478982,0.451442,0.417429,0.383415,0.816963,1.649113,1.646634,1.644154,CC1Cc2ccccc2CO1,9,100.0,9,10.1016/S0040-4020(97)00622-4
88,0.420384,0.328824,0.328824,0.328824,0.001532,1.999355,1.999355,1.999355,c1ccc2c(c1)COC2,0,0.0,6,10.1016/S0040-4020(97)00622-4
89,0.462414,0.363655,0.363655,0.363655,0.000192,1.99992,1.99992,1.99992,c1ccc2c(c1)COC2,2,0.0,6,10.1016/S0040-4020(97)00622-4
90,0.403134,0.36687,0.362223,0.357575,0.7771,1.670228,1.66994,1.669652,c1ccc2c(c1)COC2,6,100.0,6,10.1016/S0040-4020(97)00622-4
91,0.418823,0.328416,0.328416,0.328416,0.003612,1.998488,1.998488,1.998488,c1ccc(Cc2ccccc2)cc1,0,0.0,4,10.1016/S0040-4020(97)00622-4
92,0.423675,0.328207,0.328207,0.328207,0.003032,1.998729,1.998729,1.998729,c1ccc(Cc2ccccc2)cc1,1,0.0,4,10.1016/S0040-4020(97)00622-4
93,0.512102,0.429265,0.429265,0.429265,0.002191,1.999077,1.999077,1.999077,c1ccc(Cc2ccccc2)cc1,2,0.0,4,10.1016/S0040-4020(97)00622-4
94,0.523994,0.44478,0.444736,0.444692,0.810884,1.638655,1.638653,1.63865,c1ccc(Cc2ccccc2)cc1,4,100.0,4,10.1016/S0040-4020(97)00622-4
95,0.420442,0.328102,0.328102,0.328102,0.003497,1.998536,1.998536,1.998536,c1ccc2c(c1)Cc1ccccc1C2,0,0.0,6,10.1016/S0040-4020(97)00622-4
96,0.475709,0.376765,0.376765,0.376765,0.000459,1.999807,1.999807,1.999807,c1ccc2c(c1)Cc1ccccc1C2,2,0.0,6,10.1016/S0040-4020(97)00622-4
97,0.509842,0.439777,0.438085,0.436393,0.801434,1.649237,1.649153,1.64907,c1ccc2c(c1)Cc1ccccc1C2,6,100.0,6,10.1016/S0040-4020(97)00622-4
98,0.420576,0.328172,0.328172,0.328172,1e-06,2.0,2.0,2.0,c1ccc2c(c1)Cc1ccccc1O2,0,0.0,6,10.1016/S0040-4020(97)00622-4
99,0.419505,0.328061,0.328061,0.328061,4e-06,1.999998,1.999998,1.999998,c1ccc2c(c1)Cc1ccccc1O2,1,0.0,6,10.1016/S0040-4020(97)00622-4
100,0.462443,0.363807,0.363807,0.363807,7e-06,1.999997,1.999997,1.999997,c1ccc2c(c1)Cc1ccccc1O2,2,0.0,6,10.1016/S0040-4020(97)00622-4
101,0.473706,0.375542,0.375542,0.375542,9e-06,1.999996,1.999996,1.999996,c1ccc2c(c1)Cc1ccccc1O2,5,0.0,6,10.1016/S0040-4020(97)00622-4
102,0.500897,0.431525,0.431478,0.431432,0.790048,1.656831,1.656831,1.656831,c1ccc2c(c1)Cc1ccccc1O2,6,100.0,6,10.1016/S0040-4020(97)00622-4
103,0.323734,0.391685,0.349578,0.319657,0.812538,1.689864,1.689067,1.688162,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,0.0,1,10.1021/jo00045a004
104,0.513901,0.42251,0.42251,0.42251,0.800517,1.587768,1.587768,1.587768,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,100.0,1,10.1021/jo00045a004
105,0.497408,0.439923,0.439145,0.438368,0.808089,1.640258,1.638231,1.636203,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3,0.0,1,10.1021/jo00045a004
106,0.542536,0.545145,0.534398,0.52365,0.783589,1.653791,1.558793,1.463796,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4,0.0,1,10.1021/jo00045a004
107,0.543969,0.513494,0.503133,0.492773,0.814276,1.639958,1.637102,1.634245,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5,0.0,1,10.1021/jo00045a004
108,0.659773,0.597081,0.597081,0.597081,0.794826,1.590378,1.590378,1.590378,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,6,0.0,1,10.1021/jo00045a004
109,0.414916,0.460824,0.431098,0.400275,0.825513,1.686655,1.681715,1.678868,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,7,0.0,1,10.1021/jo00045a004
110,0.724673,0.595247,0.595247,0.595247,0.791077,1.58641,1.58641,1.58641,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,8,0.0,1,10.1021/jo00045a004
111,0.521181,0.484742,0.457665,0.430587,0.779937,1.658845,1.657893,1.656942,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,9,0.0,1,10.1021/jo00045a004
112,0.516312,0.484666,0.454403,0.42414,0.740205,1.668453,1.667868,1.667284,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,10,0.0,1,10.1021/jo00045a004
113,0.734206,0.60531,0.60531,0.60531,0.739741,1.615847,1.615847,1.615847,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,11,0.0,1,10.1021/jo00045a004
114,0.74848,0.685986,0.685986,0.685986,0.778509,1.60031,1.60031,1.60031,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,12,0.0,1,10.1021/jo00045a004
115,0.531949,0.478679,0.464257,0.449835,0.805691,1.643949,1.643153,1.642357,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,13,0.0,1,10.1021/jo00045a004
116,0.515491,0.494805,0.448256,0.401708,0.800793,1.646608,1.645461,1.644314,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,14,0.0,1,10.1021/jo00045a004
117,0.700172,0.585597,0.585597,0.585597,0.81035,1.578682,1.578682,1.578682,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,15,0.0,1,10.1021/jo00045a004
118,0.539159,0.497641,0.463683,0.429725,0.80585,1.645453,1.645225,1.644996,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,16,0.0,1,10.1021/jo00045a004
119,0.488236,0.456491,0.42025,0.384009,0.80544,1.646263,1.645552,1.64484,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,19,0.0,1,10.1021/jo00045a004
120,0.569122,0.492808,0.490068,0.487328,0.818652,1.636434,1.635463,1.634492,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,20,0.0,1,10.1021/jo00045a004
121,0.486308,0.49968,0.479229,0.461511,0.839231,1.675174,1.67408,1.672506,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,22,0.0,1,10.1021/jo00045a004
122,0.757565,0.620388,0.620388,0.620388,0.812673,1.569904,1.569904,1.569904,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,23,0.0,1,10.1021/jo00045a004
123,0.584054,0.570403,0.521417,0.472431,0.819785,1.634498,1.633123,1.631747,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,24,0.0,1,10.1021/jo00045a004
124,0.586814,0.515881,0.50921,0.502539,0.818589,1.63586,1.573896,1.511933,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,25,0.0,1,10.1021/jo00045a004
125,0.493198,0.506424,0.488073,0.4772,0.83832,1.675495,1.674629,1.673696,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,27,0.0,1,10.1021/jo00045a004
126,0.26757,0.337198,0.312446,0.295943,0.775154,1.709761,1.708563,1.706327,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,0,0.0,24,10.1021/jo00045a004
127,0.631185,0.500844,0.500844,0.500844,0.808834,1.597266,1.597266,1.597266,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,4,0.0,24,10.1021/jo00045a004
128,0.496378,0.428432,0.411451,0.394469,0.795114,1.648381,1.643353,1.638326,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,5,0.0,24,10.1021/jo00045a004
129,0.587152,0.523225,0.504793,0.486361,0.83743,1.625156,1.622178,1.619201,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,6,0.0,24,10.1021/jo00045a004
130,0.507891,0.554708,0.511046,0.471068,0.839197,1.675246,1.674097,1.672284,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,8,0.0,24,10.1021/jo00045a004
131,0.71249,0.591642,0.591642,0.591642,0.815483,1.573911,1.573911,1.573911,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,9,0.0,24,10.1021/jo00045a004
132,0.515479,0.495335,0.44851,0.401684,0.801715,1.645758,1.644996,1.644234,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,10,0.0,24,10.1021/jo00045a004
133,0.531215,0.478109,0.463774,0.449439,0.805014,1.64436,1.643636,1.642912,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,11,0.0,24,10.1021/jo00045a004
134,0.747909,0.684274,0.684274,0.684274,0.77874,0.168856,0.168856,0.168856,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,12,0.0,24,10.1021/jo00045a004
135,0.759172,0.626153,0.626153,0.626153,0.812615,1.570311,1.570311,1.570311,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,13,0.0,24,10.1021/jo00045a004
136,0.585049,0.571364,0.523143,0.474923,0.82045,1.633326,1.632179,1.631032,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,14,0.0,24,10.1021/jo00045a004
