,Buried_Volume_C,Buried_Volume_H_max,Buried_Volume_H_mean,Buried_Volume_H_min,Local_Electrophilicity_C,Local_Electrophilicity_H_max,Local_Electrophilicity_H_mean,Local_Electrophilicity_H_min,Local_Nucleophilicity_C,Local_Nucleophilicity_H_max,Local_Nucleophilicity_H_mean,Local_Nucleophilicity_H_min,Nucleophilicity_C,Nucleophilicity_H_max,Nucleophilicity_H_mean,Nucleophilicity_H_min,Pyramidalization_C,Pyramidalization_H_max,Pyramidalization_H_mean,Pyramidalization_H_min,Radical_C,Radical_H_max,Radical_H_mean,Radical_H_min,charge_C,charge_H_max,charge_H_mean,charge_H_min,dual_C,dual_H_max,dual_H_mean,dual_H_min,electrophilicity_C,electrophilicity_H_max,electrophilicity_H_mean,electrophilicity_H_min,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
22,0.4384,0.418742,0.384047,0.349352,-0.00122,0.015564,0.015462,0.015359,-0.00991,0.065893,0.062041,0.05819,-0.00991,0.065893,0.062041,0.05819,0.78885,1.653267,1.652787,1.652306,-0.00566,0.058878,0.058358,0.057839,-0.05406,0.027873,0.026834,0.025795,0.00851,-0.000701,-0.007366,-0.01403,-0.00141,0.057488,0.054675,0.051862,C1CC[C@H]2CCCC[C@H]2C1,0,0.7342143906020557,3,10.1021/ja00199a039
23,0.52587,0.523603,0.472,0.420396,-0.00055,0.015864,0.015348,0.014832,-0.00988,0.071074,0.064875,0.058675,-0.00988,0.071074,0.064875,0.058675,0.7817,1.657549,1.656545,1.655541,-0.00369,0.061452,0.058628,0.055803,-0.05765,0.033403,0.029009,0.024615,0.01237,-0.005745,-0.012494,-0.019244,0.00249,0.052931,0.05238,0.05183,C1CC[C@H]2CCCC[C@H]2C1,2,0.978952520802741,3,10.1021/ja00199a039
24,0.65471,0.52347,0.52347,0.52347,0.00172,0.022175,0.022175,0.022175,0.00494,0.083889,0.083889,0.083889,0.00494,0.083889,0.083889,0.083889,0.77981,1.59416,1.59416,1.59416,0.00608,0.082617,0.082617,0.082617,-0.01963,0.028317,0.028317,0.028317,0.00228,-0.002544,-0.002544,-0.002544,0.00722,0.081345,0.081345,0.081345,C1CC[C@H]2CCCC[C@H]2C1,3,98.2868330885952,3,10.1021/ja00199a039
25,0.45101,0.394999,0.383281,0.371564,-0.00084,0.025692,0.023479,0.021266,-0.00238,0.126723,0.098834,0.070945,-0.00238,0.126723,0.098834,0.070945,0.75134,1.673802,1.673014,1.672226,-0.00298,0.102444,0.090035,0.077626,-0.05936,0.029978,0.028333,0.026688,-0.00121,0.013361,-0.017598,-0.048558,-0.00359,0.084307,0.081236,0.078166,C1CC2CCC1C2,0,100.0,0,10.1021/ja00199a039
26,0.53886,0.400042,0.400042,0.400042,0.0067,0.019408,0.019408,0.019408,0.01055,0.061974,0.061974,0.061974,0.01055,0.061974,0.061974,0.061974,0.72582,1.667289,1.667289,1.667289,0.02196,0.070259,0.070259,0.070259,-0.01514,0.020839,0.020839,0.020839,0.02283,0.016569,0.016569,0.016569,0.03338,0.078543,0.078543,0.078543,C1CC2CCC1C2,2,0.0,0,10.1021/ja00199a039
27,0.47071,0.396297,0.396277,0.396257,-0.00015,0.015625,0.015625,0.015625,-0.0194,0.046592,0.046592,0.046592,-0.0194,0.046592,0.046592,0.046592,0.68934,1.706599,1.706599,1.706599,-0.00453,0.055867,0.055867,0.055867,-0.06147,0.030417,0.030417,0.030417,0.02973,0.01855,0.01855,0.01855,0.01033,0.065142,0.065142,0.065142,C1CC2CCC1C2,6,0.0,0,10.1021/ja00199a039
28,0.47556,0.397072,0.396877,0.396682,-0.00216,0.019197,0.019197,0.019197,-0.0075,0.074708,0.074708,0.074707,-0.0075,0.074708,0.074708,0.074707,0.79133,1.651329,1.651329,1.651329,-0.00816,0.07426,0.07426,0.074259,-0.05636,0.027058,0.027057,0.027057,-0.00131,-0.000896,-0.000896,-0.000896,-0.00881,0.073812,0.073812,0.073812,C1CC2CCC1CC2,0,19.444444444444443,2,10.1021/ja00199a039
29,0.5698,0.41611,0.41611,0.41611,0.00525,0.015494,0.015494,0.015494,0.01485,0.059403,0.059403,0.059403,0.01485,0.059403,0.059403,0.059403,0.76918,1.613978,1.613978,1.613978,0.01916,0.059753,0.059753,0.059753,-0.01206,0.01879,0.01879,0.01879,0.00861,0.000701,0.000701,0.000701,0.02347,0.060104,0.060104,0.060104,C1CC2CCC1CC2,2,80.55555555555556,2,10.1021/ja00199a039
30,0.51355,0.420151,0.420137,0.420122,-0.00186,0.015236,0.015236,0.015236,-0.0081,0.057247,0.057247,0.057247,-0.0081,0.057247,0.057247,0.057247,0.77708,1.659851,1.659851,1.659851,-0.00739,0.05876,0.05876,0.05876,-0.05822,0.026589,0.026589,0.026589,0.00141,0.003028,0.003027,0.003027,-0.00669,0.060274,0.060274,0.060274,C1C2CC3CC1CC(C2)C3,0,93.02325581395348,0,10.1021/ja00199a039
31,0.58811,0.419318,0.419318,0.419318,0.0022,0.019276,0.019276,0.019276,0.00864,0.081768,0.081768,0.081768,0.00864,0.081768,0.081768,0.081768,0.77001,1.613553,1.613553,1.613553,0.00855,0.076253,0.076253,0.076253,-0.01118,0.018741,0.018741,0.018741,-0.00016,-0.01103,-0.01103,-0.01103,0.00847,0.070738,0.070738,0.070738,C1C2CC3CC1CC(C2)C3,1,6.976744186046512,0,10.1021/ja00199a039
32,0.27687,0.348694,0.324532,0.276265,-0.01044,0.038426,0.024945,0.018204,-0.00448,0.072945,0.060836,0.054782,-0.00448,0.072945,0.060836,0.054782,0.79567,1.698544,1.698079,1.697847,-0.00967,0.060074,0.044842,0.037226,-0.09698,0.035503,0.035375,0.035119,-0.01038,-0.025742,-0.031989,-0.035112,-0.01487,0.047203,0.028847,0.019669,CCc1ccccc1,0,0.0,1,10.1021/ja00199a039
33,0.42913,0.391883,0.391798,0.391714,-0.01244,0.039072,0.039072,0.039072,-0.00348,0.076485,0.076484,0.076484,-0.00348,0.076485,0.076484,0.076484,0.77444,1.663857,1.663857,1.663857,-0.01072,0.062087,0.062087,0.062086,-0.05759,0.034881,0.034881,0.034881,-0.01449,-0.028795,-0.028795,-0.028796,-0.01797,0.047689,0.047689,0.047689,CCc1ccccc1,1,100.0,1,10.1021/ja00199a039
34,0.4964,0.39996,0.39996,0.39996,0.03901,0.071284,0.071284,0.071284,0.03571,0.073212,0.073212,0.073212,0.03571,0.073212,0.073212,0.073212,0.00271,1.998862,1.998862,1.998862,0.04437,0.084523,0.084523,0.084523,-0.03767,0.02756,0.02756,0.02756,0.01732,0.022622,0.022622,0.022622,0.05303,0.095834,0.095834,0.095834,CCc1ccccc1,3,0.0,1,10.1021/ja00199a039
35,0.42284,0.328853,0.328853,0.328853,0.04081,0.073038,0.073038,0.073038,0.03581,0.080735,0.080735,0.080735,0.03581,0.080735,0.080735,0.080735,0.00077,1.999678,1.999678,1.999678,0.04575,0.089082,0.089082,0.089082,-0.03095,0.027119,0.027119,0.027119,0.01986,0.016694,0.016694,0.016694,0.05568,0.097429,0.097429,0.097429,CCc1ccccc1,4,0.0,1,10.1021/ja00199a039
36,0.41826,0.328684,0.328684,0.328684,0.0489,0.07502,0.07502,0.07502,0.06871,0.086063,0.086063,0.086063,0.06871,0.086063,0.086063,0.086063,0.00122,1.999488,1.999488,1.999488,0.066,0.092859,0.092859,0.092859,-0.03368,0.026718,0.026718,0.026718,-0.00543,0.013594,0.013594,0.013594,0.06328,0.099656,0.099656,0.099656,CCc1ccccc1,5,0.0,1,10.1021/ja00199a039
37,0.32964,0.393648,0.355731,0.321265,-0.01184,0.035423,0.022786,0.016384,-0.00867,0.061137,0.054171,0.050192,-0.00867,0.061137,0.054171,0.050192,0.79793,1.697163,1.696894,1.696392,-0.01246,0.05258,0.040281,0.033855,-0.10164,0.037294,0.035092,0.032629,-0.00757,-0.017114,-0.02778,-0.033552,-0.01624,0.044023,0.026391,0.017517,CC(C)c1ccccc1,0,0.0,1,10.1021/ja00199a039
38,0.55427,0.469577,0.469577,0.469577,-0.00306,0.032084,0.032084,0.032084,0.01138,0.070039,0.070039,0.070039,0.01138,0.070039,0.070039,0.070039,0.78226,1.602549,1.602549,1.602549,0.00271,0.054005,0.054005,0.054005,-0.01421,0.03004,0.03004,0.03004,-0.01735,-0.03207,-0.03207,-0.03207,-0.00597,0.03797,0.03797,0.03797,CC(C)c1ccccc1,1,100.0,1,10.1021/ja00199a039
39,0.53996,0.460836,0.460836,0.460836,0.03953,0.070571,0.070571,0.070571,0.03117,0.066075,0.066075,0.066075,0.03117,0.066075,0.066075,0.066075,0.0,2.0,2.0,2.0,0.04255,0.080506,0.080506,0.080506,-0.03418,0.029325,0.029325,0.029325,0.02276,0.028861,0.028861,0.028861,0.05394,0.094936,0.094936,0.094936,CC(C)c1ccccc1,4,0.0,1,10.1021/ja00199a039
40,0.4287,0.329179,0.329179,0.329179,0.03871,0.072055,0.072055,0.072055,0.02948,0.075816,0.075816,0.075816,0.02948,0.075816,0.075816,0.075816,0.0,2.0,2.0,2.0,0.04121,0.085832,0.085832,0.085832,-0.03153,0.026619,0.026619,0.026619,0.02347,0.020032,0.020032,0.020032,0.05295,0.095848,0.095848,0.095848,CC(C)c1ccccc1,5,0.0,1,10.1021/ja00199a039
41,0.41793,0.328236,0.328236,0.328236,0.0495,0.074548,0.074548,0.074548,0.06443,0.080277,0.080277,0.080277,0.06443,0.080277,0.080277,0.080277,0.0,2.0,2.0,2.0,0.06434,0.089601,0.089601,0.089601,-0.03349,0.026488,0.026488,0.026488,-0.00019,0.018649,0.018649,0.018649,0.06425,0.098926,0.098926,0.098926,CC(C)c1ccccc1,6,0.0,1,10.1021/ja00199a039
42,0.24898,0.331736,0.308037,0.260838,-0.02237,0.039138,0.029265,0.024307,-0.03325,0.06063,0.058217,0.054719,-0.03325,0.06063,0.058217,0.054719,0.77513,1.709554,1.708649,1.70685,-0.03016,0.051226,0.046038,0.043133,0.03878,0.060829,0.046504,0.039024,0.00618,-0.006986,-0.024356,-0.033747,-0.02707,0.047733,0.03386,0.026883,COc1ccc(C(C)O)cc1,0,0.0,6,10.1016/S0040-4039(00)78488-7
43,0.46618,0.365839,0.365839,0.365839,0.0466,0.072738,0.072738,0.072738,0.03477,0.061763,0.061763,0.061763,0.03477,0.061763,0.061763,0.061763,0.00224,1.999058,1.999058,1.999058,0.04741,0.07735,0.07735,0.07735,-0.05497,0.047719,0.047719,0.047719,0.02529,0.031174,0.031174,0.031174,0.06005,0.092937,0.092937,0.092937,COc1ccc(C(C)O)cc1,3,0.0,6,10.1016/S0040-4039(00)78488-7
44,0.49578,0.395622,0.395622,0.395622,0.04466,0.073041,0.073041,0.073041,0.01932,0.057963,0.057963,0.057963,0.01932,0.057963,0.057963,0.057963,0.00021,1.999913,1.999913,1.999913,0.03918,0.075858,0.075858,0.075858,-0.03931,0.033082,0.033082,0.033082,0.0397,0.035789,0.035789,0.035789,0.05903,0.093753,0.093753,0.093753,COc1ccc(C(C)O)cc1,4,0.0,6,10.1016/S0040-4039(00)78488-7
45,0.51256,0.442811,0.442811,0.442811,-0.00498,0.037392,0.037392,0.037392,-0.0029,0.087127,0.087127,0.087127,-0.0029,0.087127,0.087127,0.087127,0.7475,1.637914,1.637914,1.637914,-0.0047,0.064521,0.064521,0.064521,0.11938,0.012115,0.012115,0.012115,-0.00361,-0.045212,-0.045212,-0.045212,-0.00651,0.041915,0.041915,0.041915,COc1ccc(C(C)O)cc1,6,97.0873786407767,6,10.1016/S0040-4039(00)78488-7
