,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,bde_avg,gas_charge_C,gas_charge_H_max,Buried_Volume_C,Buried_Volume_H_max,DOI
61,CC(O)c1ccc(Cl)cc1,0,2.912621359223301,1,101.62448120117188,-0.03469,0.02603,0.31479,0.38126,10.1016/S0040-4039(00)78488-7
62,CC(O)c1ccc(Cl)cc1,1,97.0873786407767,1,82.55332946777344,0.07615,0.06493,0.51462,0.446969,10.1016/S0040-4039(00)78488-7
63,CC(O)c1ccc(Cl)cc1,4,0.0,1,111.03915405273438,-0.05498,0.06271,0.52874,0.442613,10.1016/S0040-4039(00)78488-7
64,CC(O)c1ccc(Cl)cc1,5,0.0,1,112.76192474365234,-0.04316,0.06385,0.48397,0.383235,10.1016/S0040-4039(00)78488-7
65,CC(O)c1ccc(Br)cc1,0,2.9411764705882355,1,101.62448120117188,-0.03469,0.02603,0.31742,0.383136,10.1016/S0040-4039(00)78488-7
66,CC(O)c1ccc(Br)cc1,1,97.05882352941177,1,82.55332946777344,0.07615,0.06493,0.51254,0.442473,10.1016/S0040-4039(00)78488-7
67,CC(O)c1ccc(Br)cc1,4,0.0,1,110.9963150024414,-0.05534,0.0627,0.52894,0.444547,10.1016/S0040-4039(00)78488-7
68,CC(O)c1ccc(Br)cc1,5,0.0,1,112.28814697265625,-0.04761,0.06347,0.48859,0.39027,10.1016/S0040-4039(00)78488-7
69,CC(O)c1ccc(C#N)cc1,0,1.9801980198019802,1,101.62448120117188,-0.03469,0.02603,0.31755,0.383136,10.1016/S0040-4039(00)78488-7
70,CC(O)c1ccc(C#N)cc1,1,98.01980198019803,1,82.55333709716797,0.07615,0.06493,0.51243,0.4422,10.1016/S0040-4039(00)78488-7
71,CC(O)c1ccc(C#N)cc1,4,0.0,1,111.66442108154297,-0.05514,0.0627,0.52871,0.44443,10.1016/S0040-4039(00)78488-7
72,CC(O)c1ccc(C#N)cc1,5,0.0,1,112.88880157470703,-0.04402,0.06367,0.48004,0.380247,10.1016/S0040-4039(00)78488-7
73,c1ccc2c(c1)CCOC2,0,0.0,9,111.1240463256836,-0.06197,0.06228,0.42002,0.328556,10.1016/S0040-4020(97)00622-4
74,c1ccc2c(c1)CCOC2,1,0.0,9,111.23790740966797,-0.06189,0.06228,0.42062,0.328801,10.1016/S0040-4020(97)00622-4
75,c1ccc2c(c1)CCOC2,2,0.0,9,110.65467071533203,-0.05645,0.06266,0.47608,0.37832,10.1016/S0040-4020(97)00622-4
76,c1ccc2c(c1)CCOC2,5,0.0,9,110.7841796875,-0.0586,0.06257,0.47554,0.377481,10.1016/S0040-4020(97)00622-4
77,c1ccc2c(c1)CCOC2,6,0.0,9,87.67056274414062,-0.00388,0.03398,0.45671,0.408149,10.1016/S0040-4020(97)00622-4
78,c1ccc2c(c1)CCOC2,7,0.0,9,94.9412841796875,0.05107,0.05702,0.40561,0.406687,10.1016/S0040-4020(97)00622-4
79,c1ccc2c(c1)CCOC2,9,100.0,9,81.35713195800781,0.07192,0.06184,0.44418,0.403082,10.1016/S0040-4020(97)00622-4
80,CC1Cc2ccccc2CO1,0,0.0,9,101.8741226196289,-0.03833,0.02569,0.28184,0.340122,10.1016/S0040-4020(97)00622-4
81,CC1Cc2ccccc2CO1,1,0.0,9,93.85404205322266,0.05915,0.0604,0.53624,0.484014,10.1016/S0040-4020(97)00622-4
82,CC1Cc2ccccc2CO1,2,0.0,9,87.62345123291016,-0.00129,0.03427,0.51132,0.45712,10.1016/S0040-4020(97)00622-4
83,CC1Cc2ccccc2CO1,4,0.0,9,111.01618194580078,-0.05859,0.06257,0.47563,0.37776,10.1016/S0040-4020(97)00622-4
84,CC1Cc2ccccc2CO1,5,0.0,9,111.2456283569336,-0.06197,0.06228,0.42022,0.328637,10.1016/S0040-4020(97)00622-4
85,CC1Cc2ccccc2CO1,6,0.0,9,111.23790740966797,-0.06189,0.06228,0.4204,0.328713,10.1016/S0040-4020(97)00622-4
86,CC1Cc2ccccc2CO1,7,0.0,9,110.92904663085938,-0.05645,0.06266,0.47572,0.378145,10.1016/S0040-4020(97)00622-4
87,CC1Cc2ccccc2CO1,9,100.0,9,81.84761810302734,0.07228,0.06185,0.44926,0.405312,10.1016/S0040-4020(97)00622-4
88,c1ccc2c(c1)COC2,0,0.0,6,111.2092056274414,-0.06189,0.06228,0.42096,0.329878,10.1016/S0040-4020(97)00622-4
89,c1ccc2c(c1)COC2,2,0.0,6,111.35411834716797,-0.05636,0.06266,0.46219,0.363638,10.1016/S0040-4020(97)00622-4
90,c1ccc2c(c1)COC2,6,100.0,6,81.7303695678711,0.07245,0.06186,0.40249,0.359771,10.1016/S0040-4020(97)00622-4
91,c1ccc(Cc2ccccc2)cc1,0,0.0,4,111.2779312133789,-0.06225,0.06227,0.41833,0.328696,10.1016/S0040-4020(97)00622-4
92,c1ccc(Cc2ccccc2)cc1,1,0.0,4,111.04244232177734,-0.06198,0.06228,0.42657,0.329086,10.1016/S0040-4020(97)00622-4
93,c1ccc(Cc2ccccc2)cc1,2,0.0,4,111.18346405029297,-0.05871,0.06257,0.51996,0.435689,10.1016/S0040-4020(97)00622-4
94,c1ccc(Cc2ccccc2)cc1,4,100.0,4,83.95191955566406,-0.00258,0.03657,0.52005,0.443242,10.1016/S0040-4020(97)00622-4
95,c1ccc2c(c1)Cc1ccccc1C2,0,0.0,6,111.19853973388672,-0.06196,0.06228,0.42014,0.328946,10.1016/S0040-4020(97)00622-4
96,c1ccc2c(c1)Cc1ccccc1C2,2,0.0,6,110.74608612060547,-0.05842,0.06258,0.4775,0.377277,10.1016/S0040-4020(97)00622-4
97,c1ccc2c(c1)Cc1ccccc1C2,6,100.0,6,78.49838256835938,-0.00201,0.03659,0.51255,0.441163,10.1016/S0040-4020(97)00622-4
98,c1ccc2c(c1)Cc1ccccc1O2,0,0.0,6,111.73909759521484,-0.06171,0.06228,0.42031,0.328498,10.1016/S0040-4020(97)00622-4
99,c1ccc2c(c1)Cc1ccccc1O2,1,0.0,6,111.08882904052734,-0.05854,0.06241,0.41967,0.328859,10.1016/S0040-4020(97)00622-4
100,c1ccc2c(c1)Cc1ccccc1O2,2,0.0,6,112.85271453857422,-0.01901,0.06622,0.46244,0.36563,10.1016/S0040-4020(97)00622-4
101,c1ccc2c(c1)Cc1ccccc1O2,5,0.0,6,111.0661392211914,-0.05498,0.06271,0.47565,0.378832,10.1016/S0040-4020(97)00622-4
102,c1ccc2c(c1)Cc1ccccc1O2,6,100.0,6,76.76148223876953,0.0048,0.03685,0.49795,0.427926,10.1016/S0040-4020(97)00622-4
103,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,0.0,1,100.48023223876953,-0.06277,0.02331,0.38436,0.49926,10.1021/jo00045a004
104,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,100.0,1,94.8033447265625,-0.04713,0.0297,0.53393,0.47052,10.1021/jo00045a004
105,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3,0.0,1,96.93645477294922,-0.05096,0.02692,0.50809,0.488655,10.1021/jo00045a004
106,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4,0.0,1,95.2015151977539,-0.0528,0.02667,0.5876,0.620673,10.1021/jo00045a004
107,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5,0.0,1,96.07878875732422,-0.05042,0.02694,0.62731,0.632513,10.1021/jo00045a004
108,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,6,0.0,1,92.69884490966797,-0.0409,0.03029,0.6537,0.53496,10.1021/jo00045a004
109,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,7,0.0,1,99.4224853515625,-0.06222,0.02333,0.36341,0.444751,10.1021/jo00045a004
110,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,8,0.0,1,90.82381439208984,-0.03315,0.03111,0.74484,0.588759,10.1021/jo00045a004
111,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,9,0.0,1,94.94593048095703,-0.04937,0.02698,0.5645,0.572022,10.1021/jo00045a004
112,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,10,0.0,1,94.93614959716797,-0.04935,0.02698,0.52355,0.498177,10.1021/jo00045a004
113,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,11,0.0,1,93.34149932861328,-0.0326,0.03113,0.73675,0.611029,10.1021/jo00045a004
114,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,12,0.0,1,95.57967376708984,-0.03467,0.03088,0.74827,0.682608,10.1021/jo00045a004
115,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,13,0.0,1,97.49553680419922,-0.04958,0.02697,0.5316,0.482698,10.1021/jo00045a004
116,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,14,0.0,1,95.54486846923828,-0.04921,0.02698,0.51694,0.501351,10.1021/jo00045a004
117,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,15,0.0,1,99.3213882446289,-0.02881,0.03128,0.70303,0.590658,10.1021/jo00045a004
118,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,16,0.0,1,89.87733459472656,0.00944,0.03496,0.54135,0.504874,10.1021/jo00045a004
119,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,19,0.0,1,89.9248275756836,0.00662,0.03467,0.49138,0.466589,10.1021/jo00045a004
120,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,20,0.0,1,94.42540740966797,-0.04038,0.02768,0.57191,0.498078,10.1021/jo00045a004
121,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,22,0.0,1,98.99535369873047,-0.05908,0.02362,0.49019,0.506301,10.1021/jo00045a004
122,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,23,0.0,1,95.21027374267578,-0.03257,0.03113,0.76074,0.625262,10.1021/jo00045a004
123,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,24,0.0,1,96.24474334716797,-0.0491,0.02699,0.59053,0.57961,10.1021/jo00045a004
124,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,25,0.0,1,95.3315658569336,-0.04702,0.02724,0.55896,0.487182,10.1021/jo00045a004
125,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,27,0.0,1,98.80265045166016,-0.05909,0.02362,0.55998,0.626002,10.1021/jo00045a004
126,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,0,0.0,24,97.25887298583984,0.03396,0.03485,0.25701,0.307829,10.1021/jo00045a004
127,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,4,0.0,24,96.76261138916016,0.10208,0.07438,0.62801,0.55921,10.1021/jo00045a004
128,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,5,0.0,24,96.56511688232422,-0.01521,0.03046,0.54819,0.514419,10.1021/jo00045a004
129,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,6,0.0,24,94.9032211303711,-0.0438,0.02737,0.57574,0.504426,10.1021/jo00045a004
130,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,8,0.0,24,96.89192962646484,-0.0591,0.02362,0.48948,0.506761,10.1021/jo00045a004
131,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,9,0.0,24,95.02046203613281,-0.03221,0.03098,0.70256,0.588375,10.1021/jo00045a004
132,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,10,0.0,24,95.14441680908203,-0.0495,0.02697,0.51716,0.501275,10.1021/jo00045a004
133,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,11,0.0,24,93.49251556396484,-0.04959,0.02697,0.53176,0.483152,10.1021/jo00045a004
134,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,12,0.0,24,92.39041137695312,-0.03467,0.03088,0.74853,0.682876,10.1021/jo00045a004
135,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,13,0.0,24,91.55317687988281,-0.0326,0.03113,0.7612,0.625577,10.1021/jo00045a004
136,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,14,0.0,24,95.06035614013672,-0.0491,0.02699,0.59069,0.579575,10.1021/jo00045a004
137,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,15,0.0,24,94.5998764038086,-0.04702,0.02724,0.55892,0.486972,10.1021/jo00045a004
138,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,17,0.0,24,98.5091323852539,-0.05909,0.02362,0.52901,0.569314,10.1021/jo00045a004
139,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,18,0.0,24,91.03081512451172,-0.03315,0.03111,0.74476,0.588806,10.1021/jo00045a004
140,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,19,0.0,24,92.14965057373047,-0.0409,0.03029,0.65644,0.536002,10.1021/jo00045a004
141,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,20,0.0,24,99.22049713134766,-0.06222,0.02333,0.37769,0.469315,10.1021/jo00045a004
142,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,21,0.0,24,96.10907745361328,-0.05042,0.02694,0.6125,0.55776,10.1021/jo00045a004
143,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,22,0.0,24,95.264892578125,-0.0528,0.02667,0.58633,0.604751,10.1021/jo00045a004
144,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,23,0.0,24,96.90959930419922,-0.05096,0.02692,0.51131,0.462315,10.1021/jo00045a004
145,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,24,100.0,24,94.79939270019531,-0.04713,0.0297,0.54972,0.536916,10.1021/jo00045a004
146,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,25,0.0,24,100.48023223876953,-0.06277,0.02331,0.30058,0.3516,10.1021/jo00045a004
147,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,27,0.0,24,94.92073822021484,-0.04937,0.02698,0.56524,0.568667,10.1021/jo00045a004
148,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]32)C1,28,0.0,24,95.10678100585938,-0.04935,0.02698,0.52374,0.497577,10.1021/jo00045a004
