,bde_avg,bde_max,bde_min,bdfe_max,bdfe_min,bfde_avg,Reactant_SMILES,Atom_nº,Selectivity,Reactive Atom,DOI
760,98.37195587158203,98.37195587158203,98.37195587158203,88.93912506103516,88.93912506103516,88.93912506103516,CCCCC(C)OC(=O)c1ccc(Cl)cc1,3,0.0,1,10.1021/jo9604189
761,96.90369415283203,96.90369415283203,96.90369415283203,87.57164764404297,87.57164764404297,87.57164764404297,CCCCC(C)OC(=O)c1ccc(Cl)cc1,4,0.0,1,10.1021/jo9604189
762,101.58621978759766,101.58621978759766,101.58621978759766,92.57074737548828,92.57074737548828,92.57074737548828,CCCCC(C)OC(=O)c1ccc(Cl)cc1,5,0.0,1,10.1021/jo9604189
763,111.81690216064453,111.81690216064453,111.81690216064453,103.34712219238281,103.34712219238281,103.34712219238281,CCCCC(C)OC(=O)c1ccc(Cl)cc1,10,0.0,1,10.1021/jo9604189
764,113.05463409423828,113.05463409423828,113.05463409423828,104.5910415649414,104.5910415649414,104.5910415649414,CCCCC(C)OC(=O)c1ccc(Cl)cc1,11,0.0,1,10.1021/jo9604189
765,97.13704681396484,97.13704681396484,97.13704681396484,88.4134521484375,88.4134521484375,88.4134521484375,O=C(OC1CCCCC1)c1ccc(Cl)cc1,3,0.0,6,10.1021/jo9604189
766,98.91516876220703,98.91516876220703,98.91516876220703,90.02867126464844,90.02867126464844,90.02867126464844,O=C(OC1CCCCC1)c1ccc(Cl)cc1,4,0.0,6,10.1021/jo9604189
767,97.70946502685547,97.70946502685547,97.70946502685547,88.74500274658203,88.74500274658203,88.74500274658203,O=C(OC1CCCCC1)c1ccc(Cl)cc1,5,25.0,6,10.1021/jo9604189
768,97.61748504638672,97.61748504638672,97.61748504638672,88.7233657836914,88.7233657836914,88.7233657836914,O=C(OC1CCCCC1)c1ccc(Cl)cc1,6,75.0,6,10.1021/jo9604189
769,111.82032012939453,111.82032012939453,111.82032012939453,103.35049438476562,103.35049438476562,103.35049438476562,O=C(OC1CCCCC1)c1ccc(Cl)cc1,10,0.0,6,10.1021/jo9604189
770,113.05463409423828,113.05463409423828,113.05463409423828,104.5910415649414,104.5910415649414,104.5910415649414,O=C(OC1CCCCC1)c1ccc(Cl)cc1,11,0.0,6,10.1021/jo9604189
771,97.13703918457031,97.13703918457031,97.13703918457031,88.4134521484375,88.4134521484375,88.4134521484375,O=C(OC1CCCCCC1)c1ccc(Cl)cc1,3,0.0,6,10.1021/jo9604189
772,98.91517639160156,98.91517639160156,98.91517639160156,90.02867126464844,90.02867126464844,90.02867126464844,O=C(OC1CCCCCC1)c1ccc(Cl)cc1,4,0.0,6,10.1021/jo9604189
773,93.77201080322266,93.77201080322266,93.77201080322266,84.97952270507812,84.97952270507812,84.97952270507812,O=C(OC1CCCCCC1)c1ccc(Cl)cc1,5,15.0,6,10.1021/jo9604189
774,93.91356658935547,93.91356658935547,93.91356658935547,84.9489974975586,84.9489974975586,84.9489974975586,O=C(OC1CCCCCC1)c1ccc(Cl)cc1,6,85.0,6,10.1021/jo9604189
775,111.8203125,111.8203125,111.8203125,103.35049438476562,103.35049438476562,103.35049438476562,O=C(OC1CCCCCC1)c1ccc(Cl)cc1,11,0.0,6,10.1021/jo9604189
776,113.05463409423828,113.05463409423828,113.05463409423828,104.5910415649414,104.5910415649414,104.5910415649414,O=C(OC1CCCCCC1)c1ccc(Cl)cc1,12,0.0,6,10.1021/jo9604189
777,96.75590515136719,96.75590515136719,96.75590515136719,87.8353500366211,87.8353500366211,87.8353500366211,O=C(O[C@@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,3,0.0,6,10.1021/jo9604189
778,96.4065933227539,96.4065933227539,96.4065933227539,87.475830078125,87.475830078125,87.475830078125,O=C(O[C@@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,4,0.0,6,10.1021/jo9604189
779,105.93814849853516,105.93814849853516,105.93814849853516,97.4459457397461,97.4459457397461,97.4459457397461,O=C(O[C@@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,5,0.0,6,10.1021/jo9604189
780,96.75492095947266,96.75492095947266,96.75492095947266,88.12415313720703,88.12415313720703,88.12415313720703,O=C(O[C@@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,6,91.0,6,10.1021/jo9604189
781,96.42481231689453,96.42481231689453,96.42481231689453,87.90459442138672,87.90459442138672,87.90459442138672,O=C(O[C@@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,7,9.0,6,10.1021/jo9604189
782,105.42943572998047,105.42943572998047,105.42943572998047,96.67488861083984,96.67488861083984,96.67488861083984,O=C(O[C@@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,8,0.0,6,10.1021/jo9604189
783,103.41378021240234,103.41378021240234,103.41378021240234,94.73094940185547,94.73094940185547,94.73094940185547,O=C(O[C@@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,9,0.0,6,10.1021/jo9604189
784,111.83477020263672,111.83477020263672,111.83477020263672,103.36479949951172,103.36479949951172,103.36479949951172,O=C(O[C@@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,11,0.0,6,10.1021/jo9604189
785,113.05463409423828,113.05463409423828,113.05463409423828,104.5910415649414,104.5910415649414,104.5910415649414,O=C(O[C@@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,12,0.0,6,10.1021/jo9604189
786,96.4890365600586,96.4890365600586,96.4890365600586,87.84281158447266,87.84281158447266,87.84281158447266,O=C(O[C@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,3,0.0,6,10.1021/jo9604189
787,98.33235168457031,98.33235168457031,98.33235168457031,89.28775787353516,89.28775787353516,89.28775787353516,O=C(O[C@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,4,0.0,6,10.1021/jo9604189
788,106.26068878173828,106.26068878173828,106.26068878173828,97.6801986694336,97.6801986694336,97.6801986694336,O=C(O[C@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,5,0.0,6,10.1021/jo9604189
789,96.89957427978516,96.89957427978516,96.89957427978516,88.26676177978516,88.26676177978516,88.26676177978516,O=C(O[C@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,6,98.0,6,10.1021/jo9604189
790,96.66310119628906,96.66310119628906,96.66310119628906,88.08670806884766,88.08670806884766,88.08670806884766,O=C(O[C@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,7,2.0,6,10.1021/jo9604189
791,106.33716583251953,106.33716583251953,106.33716583251953,97.67762756347656,97.67762756347656,97.67762756347656,O=C(O[C@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,8,0.0,6,10.1021/jo9604189
792,103.32189178466797,103.32189178466797,103.32189178466797,94.68620300292969,94.68620300292969,94.68620300292969,O=C(O[C@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,9,0.0,6,10.1021/jo9604189
793,111.8306655883789,111.8306655883789,111.8306655883789,103.36075592041016,103.36075592041016,103.36075592041016,O=C(O[C@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,11,0.0,6,10.1021/jo9604189
794,113.05463409423828,113.05463409423828,113.05463409423828,104.5910415649414,104.5910415649414,104.5910415649414,O=C(O[C@H]1C[C@@H]2CC[C@H]1C2)c1ccc(Cl)cc1,12,0.0,6,10.1021/jo9604189
795,97.25887298583984,97.25887298583984,97.25887298583984,89.55390167236328,89.55390167236328,89.55390167236328,CC(=O)O[C@H]1CCC[C@@H]2CCCC[C@@H]21,0,0.0,8,10.1021/jo9604189
